order_id,date,customer_id,product_id,quantity
O00112,2024-09-19,C040,P016,2
O00113,2024-10-15,C024,P013,2
O00114,2024-06-13,C044,P003,5
O00115,2024-09-26,C004,P003,3
O00116,2024-04-09,C006,P008,2
O00117,2024-01-30,C026,P010,1
O00118,2024-02-05,C037,P020,3
O00119,2024-06-12,C041,P006,5
O00120,2024-11-26,C023,P004,3
O00121,2024-02-16,C033,P019,4
O00122,2024-06-15,C028,P004,2
O00123,2024-09-14,C049,P001,4
O00124,2024-03-15,C033,P009,4
O00125,2024-09-21,C021,P009,4
O00126,2024-04-21,C049,P013,4
O00127,2024-10-22,C006,P018,3
O00128,2024-07-30,C050,P019,2
O00129,2024-07-19,C008,P006,4
O00130,2024-03-05,C015,P020,5
O00131,2024-06-18,C042,P013,5
O00132,2024-11-09,C037,P002,2
O00133,2024-01-08,C049,P019,4
O00134,2024-10-04,C038,P003,1
O00135,2024-06-29,C032,P012,3
O00136,2024-09-20,C018,P016,3
O00137,2024-08-30,C001,P005,2
O00138,2024-06-07,C007,P006,5
O00139,2024-04-22,C015,P010,5
O00140,2024-08-17,C003,P018,1
O00141,2024-02-21,C026,P005,2
O00142,2024-08-01,C039,P014,2
O00143,2024-02-04,C049,P010,5
O00144,2024-08-25,C025,P003,3
O00145,2024-08-18,C044,P015,4
O00146,2024-01-31,C050,P017,5
O00147,2024-10-04,C043,P012,4
O00148,2024-06-01,C024,P004,1
O00149,2024-10-15,C017,P004,1
O00150,2024-01-16,C049,P009,2
O00151,2024-03-06,C013,P011,2
O00152,2024-06-29,C021,P012,4
O00153,2024-03-09,C004,P005,1
O00154,2024-04-30,C040,P011,2
O00155,2024-08-29,C033,P006,2
O00156,2024-02-22,C005,P014,1
O00157,2024-09-05,C012,P016,1
O00158,2024-02-07,C028,P014,1
O00159,2024-03-05,C028,P001,3
O00160,2024-08-03,C041,P020,3
O00161,2024-10-17,C014,P001,3
O00162,2024-03-03,C047,P020,3
O00163,2024-04-19,C023,P001,4
O00164,2024-12-04,C042,P011,5
O00165,2024-12-28,C012,P003,3
O00166,2024-07-31,C002,P002,4
O00167,2024-06-12,C003,P014,4
O00168,2024-05-06,C019,P015,4
O00169,2024-08-12,C048,P003,1
O00170,2024-08-04,C003,P020,5
O00171,2024-04-17,C019,P007,1
O00172,2024-01-09,C006,P007,3
O00173,2024-02-25,C047,P006,4
O00174,2024-12-16,C034,P010,3
O00175,2024-06-02,C039,P004,2
O00176,2024-06-25,C036,P009,5
O00177,2024-06-19,C033,P005,1
O00178,2024-10-13,C039,P002,2
O00179,2024-01-24,C001,P008,5
O00180,2024-01-31,C044,P014,4
O00181,2024-04-10,C037,P016,1
O00182,2024-06-27,C037,P008,4
O00183,2024-09-02,C020,P007,5
O00184,2024-06-28,C041,P016,1
O00185,2024-06-10,C020,P014,3
O00186,2024-12-09,C003,P017,3
O00187,2024-02-28,C046,P019,1
O00188,2024-07-28,C012,P017,2
O00189,2024-07-17,C006,P019,1
O00190,2024-06-22,C032,P009,1
O00191,2024-10-22,C012,P008,3
O00192,2024-04-07,C043,P007,3
O00193,2024-12-15,C023,P005,2
O00194,2024-05-01,C001,P015,2
O00195,2024-07-18,C048,P015,1
O00196,2024-07-09,C026,P017,4
O00197,2024-11-07,C014,P004,2
O00198,2024-06-09,C034,P010,5
O00199,2024-04-14,C027,P005,3
O00200,2024-01-08,C002,P018,5
O00201,2024-05-13,C038,P006,4
O00202,2024-10-29,C021,P003,2
O00203,2024-01-04,C035,P012,4
O00204,2024-11-23,C045,P018,2
O00205,2024-07-17,C031,P019,1
O00206,2024-02-21,C034,P002,2
O00207,2024-04-20,C013,P007,2
O00208,2024-07-21,C012,P004,1
O00209,2024-04-25,C021,P007,1
O00210,2024-02-09,C043,P011,5
O00211,2024-08-31,C027,P006,3
O00212,2024-09-03,C018,P002,3
O00213,2024-02-13,C039,P011,5
O00214,2024-04-12,C043,P002,2
O00215,2024-03-30,C046,P005,3
O00216,2024-08-29,C015,P001,5
O00217,2024-09-24,C036,P002,4
O00218,2024-09-23,C030,P009,2
O00219,2024-12-09,C023,P018,2
O00220,2024-10-08,C020,P016,1
O00221,2024-04-27,C006,P002,1
O00222,2024-02-09,C014,P001,1
O00223,2024-08-12,C028,P007,4
O00224,2024-12-01,C045,P014,4
O00225,2024-12-22,C044,P015,3
O00226,2024-03-25,C010,P017,4
O00227,2024-03-27,C034,P007,1
O00228,2024-01-14,C005,P004,2
O00229,2024-02-21,C034,P001,2
O00230,2024-07-22,C018,P003,5
O00231,2024-07-19,C023,P002,4
O00232,2024-05-15,C036,P018,5
O00233,2024-04-23,C022,P006,2
O00234,2024-10-30,C041,P017,5
O00235,2024-06-17,C027,P012,1
O00236,2024-10-22,C050,P011,2
O00237,2024-12-18,C032,P010,3
O00238,2024-04-26,C015,P017,1
O00239,2024-03-15,C039,P001,5
O00240,2024-12-14,C021,P002,5
O00241,2024-08-20,C027,P009,3
O00242,2024-04-16,C007,P008,2
O00243,2024-08-15,C006,P011,1
O00244,2024-07-07,C029,P015,4
O00245,2024-11-27,C010,P012,3
O00246,2024-04-03,C050,P006,4
O00247,2024-12-28,C043,P007,4
O00248,2024-12-08,C036,P016,1
O00249,2024-03-07,C037,P005,1
O00250,2024-03-01,C030,P011,4
O00251,2024-07-14,C004,P011,1
O00252,2024-01-17,C020,P016,5
O00253,2024-04-19,C025,P015,1
O00254,2024-06-08,C046,P010,4
O00255,2024-12-20,C011,P007,5
O00256,2024-12-29,C025,P008,3
O00257,2024-02-25,C018,P009,1
O00258,2024-11-22,C007,P005,5
O00259,2024-02-03,C006,P013,1
O00260,2024-09-30,C019,P005,3
O00261,2024-11-05,C005,P013,5
O00262,2024-11-22,C004,P016,4
O00263,2024-03-22,C018,P020,1
O00264,2024-11-23,C011,P003,5
O00265,2024-02-12,C028,P016,1
O00266,2024-07-08,C001,P002,4
O00267,2024-06-20,C016,P007,4
O00268,2024-04-25,C023,P004,2
O00269,2024-01-09,C049,P004,3
O00270,2024-10-09,C032,P004,1
O00271,2024-05-02,C045,P001,5
O00272,2024-08-30,C018,P017,2
O00273,2024-05-30,C023,P002,2
O00274,2024-05-16,C022,P008,3
O00275,2024-11-20,C045,P014,4
O00276,2024-02-04,C048,P020,3
O00277,2024-09-26,C049,P018,3
O00278,2024-09-30,C038,P003,3
O00279,2024-05-19,C026,P020,5
O00280,2024-04-06,C028,P014,2
O00281,2024-01-02,C050,P004,5
O00282,2024-12-08,C015,P009,4
O00283,2024-12-12,C018,P019,5
O00284,2024-03-29,C045,P008,5
O00285,2024-01-12,C020,P004,4
O00286,2024-02-14,C012,P018,2
O00287,2024-01-25,C029,P020,4
O00288,2024-10-31,C017,P020,4
O00289,2024-11-22,C045,P020,2
O00290,2024-02-26,C046,P018,4
O00291,2024-09-30,C016,P010,2
O00292,2024-03-06,C027,P004,3
O00293,2024-05-14,C050,P013,4
O00294,2024-08-07,C038,P005,1
O00295,2024-09-20,C011,P010,2
O00296,2024-11-16,C030,P014,4
O00297,2024-01-17,C031,P019,3
O00298,2024-03-12,C033,P006,5
O00299,2024-04-12,C002,P006,1
O00300,2024-04-23,C015,P015,4
O00301,2024-12-31,C043,P001,5
O00302,2024-10-11,C013,P012,5
O00303,2024-04-27,C015,P015,1
O00304,2024-12-21,C017,P012,5
O00305,2024-07-01,C009,P008,2
O00306,2024-07-02,C008,P017,2
O00307,2024-06-07,C018,P008,2
O00308,2024-02-22,C044,P015,4
O00309,2024-12-07,C001,P010,4
O00310,2024-01-06,C015,P001,3
O00311,2024-03-04,C004,P011,1
O00312,2024-03-25,C029,P001,5
O00313,2024-04-12,C013,P019,2
O00314,2024-02-18,C040,P013,1
O00315,2024-01-07,C030,P008,3
O00316,2024-09-05,C040,P010,3
O00317,2024-12-20,C032,P013,4
O00318,2024-02-14,C022,P006,5
O00319,2024-04-18,C044,P006,1
O00320,2024-07-04,C024,P009,2
O00321,2024-12-05,C048,P006,3
O00322,2024-09-11,C050,P016,4
O00323,2024-10-07,C030,P003,4
O00324,2024-07-31,C034,P017,2
O00325,2024-06-01,C013,P007,4
O00326,2024-03-14,C041,P012,5
O00327,2024-11-12,C034,P004,3
O00328,2024-10-21,C046,P008,5
O00329,2024-01-10,C014,P016,4
O00330,2024-09-18,C040,P006,2
O00331,2024-01-31,C024,P003,2
O00332,2024-09-27,C010,P011,4
O00333,2024-10-29,C009,P004,2
O00334,2024-02-17,C029,P007,2
O00335,2024-06-07,C016,P010,2
O00336,2024-02-15,C006,P012,4
O00337,2024-07-26,C022,P013,2
O00338,2024-12-05,C033,P014,4
O00339,2024-01-30,C016,P017,5
O00340,2024-05-25,C048,P002,5
O00341,2024-12-22,C039,P008,5
O00342,2024-04-20,C026,P001,1
O00343,2024-02-18,C047,P001,3
O00344,2024-06-27,C022,P005,2
O00345,2024-07-05,C007,P012,5
O00346,2024-08-30,C002,P018,4
O00347,2024-04-24,C047,P016,2
O00348,2024-12-15,C048,P013,3
O00349,2024-07-09,C037,P016,4
O00350,2024-04-14,C006,P004,3
O00351,2024-12-17,C015,P017,3
O00352,2024-12-04,C003,P018,1
O00353,2024-07-01,C003,P002,3
O00354,2024-01-10,C013,P010,2
O00355,2024-08-06,C029,P017,5
O00356,2024-07-22,C004,P010,5
O00357,2024-02-24,C050,P017,4
O00358,2024-08-20,C023,P019,1
O00359,2024-11-03,C014,P010,5
O00360,2024-02-08,C026,P002,2
O00361,2024-09-21,C040,P007,3
O00362,2024-02-21,C016,P005,5
O00363,2024-10-01,C003,P010,5
O00364,2024-06-02,C003,P012,1
O00365,2024-01-03,C043,P010,2
O00366,2024-12-19,C006,P004,4
O00367,2024-03-01,C032,P007,3
O00368,2024-08-06,C020,P014,2
O00369,2024-03-07,C039,P001,3
O00370,2024-12-07,C004,P005,5
O00371,2024-09-27,C045,P018,2
O00372,2024-10-21,C035,P002,4
O00373,2024-06-07,C023,P009,4
O00374,2024-06-20,C011,P005,5
O00375,2024-08-20,C049,P003,2
O00376,2024-10-14,C016,P009,2
O00377,2024-11-05,C025,P011,3
O00378,2024-01-07,C020,P004,3
O00379,2024-08-30,C012,P002,3
O00380,2024-02-09,C021,P003,4
O00381,2024-04-15,C008,P014,4
O00382,2024-10-30,C001,P018,2
O00383,2024-04-01,C015,P004,4
O00384,2024-10-18,C006,P007,2
O00385,2024-06-18,C021,P007,3
O00386,2024-03-26,C044,P008,1
O00387,2024-05-02,C009,P005,2
O00388,2024-07-13,C001,P002,5
O00389,2024-10-07,C006,P011,3
O00390,2024-08-09,C026,P008,4
O00391,2024-12-07,C014,P007,1
O00392,2024-11-13,C025,P006,4
O00393,2024-10-02,C002,P019,2
O00394,2024-08-08,C017,P013,4
O00395,2024-04-16,C021,P009,5
O00396,2024-05-31,C022,P005,3
O00397,2024-02-13,C028,P017,1
O00398,2024-05-16,C040,P018,3
O00399,2024-12-05,C024,P001,1
O00400,2024-06-04,C043,P019,3
O00401,2024-02-11,C027,P014,1
O00402,2024-08-26,C014,P002,4
O00403,2024-12-18,C012,P016,2
O00404,2024-11-13,C017,P003,2
O00405,2024-04-10,C030,P002,1
O00406,2024-06-15,C013,P003,5
O00407,2024-07-13,C046,P010,5
O00408,2024-03-31,C024,P013,5
O00409,2024-04-08,C044,P009,1
O00410,2024-03-27,C035,P003,2
O00411,2024-12-30,C017,P004,5
O00412,2024-09-30,C012,P018,3
O00413,2024-11-03,C038,P020,1
O00414,2024-10-25,C017,P016,1
O00415,2024-12-17,C013,P003,2
O00416,2024-02-08,C047,P017,5
O00417,2024-11-18,C025,P014,1
O00418,2024-01-25,C003,P011,5
O00419,2024-06-23,C025,P003,4
O00420,2024-08-05,C024,P020,5
O00421,2024-05-10,C044,P009,5
O00422,2024-02-23,C036,P001,2
O00423,2024-03-11,C010,P005,5
O00424,2024-10-28,C008,P009,1
O00425,2024-04-26,C031,P002,2
O00426,2024-04-23,C003,P007,2
O00427,2024-12-03,C016,P010,1
O00428,2024-02-22,C007,P019,1
O00429,2024-11-30,C002,P002,1
O00430,2024-12-03,C046,P012,1
O00431,2024-08-07,C005,P019,2
O00432,2024-03-01,C001,P017,1
O00433,2024-02-27,C047,P019,1
O00434,2024-04-14,C010,P004,5
O00435,2024-07-30,C041,P017,1
O00436,2024-02-26,C002,P020,1
O00437,2024-06-15,C008,P007,1
O00438,2024-02-12,C006,P010,1
O00439,2024-07-16,C036,P011,3
O00440,2024-01-08,C032,P010,5
O00441,2024-09-16,C024,P006,4
O00442,2024-01-21,C013,P020,3
O00443,2024-03-12,C005,P020,1
O00444,2024-03-04,C029,P008,4
O00445,2024-10-31,C012,P017,1
O00446,2024-01-20,C030,P008,4
O00447,2024-06-06,C035,P016,3
O00448,2024-08-04,C043,P012,5
O00449,2024-07-07,C025,P010,2
O00450,2024-09-06,C001,P003,4
O00451,2024-10-20,C015,P014,3
O00452,2024-05-24,C043,P007,3
O00453,2024-10-30,C027,P005,5
O00454,2024-04-26,C031,P004,4
O00455,2024-12-26,C023,P020,3
O00456,2024-07-03,C009,P003,3
O00457,2024-09-26,C045,P016,4
O00458,2024-11-16,C039,P018,2
O00459,2024-10-17,C050,P001,1
O00460,2024-11-07,C043,P012,3
O00461,2024-07-15,C015,P012,1
O00462,2024-01-16,C013,P008,1
O00463,2024-06-29,C013,P014,3
O00464,2024-03-07,C046,P009,4
O00465,2024-11-21,C028,P009,4
O00466,2024-03-27,C023,P009,2
O00467,2024-03-24,C049,P017,3
O00468,2024-04-01,C031,P013,1
O00469,2024-08-23,C046,P008,4
O00470,2024-07-28,C050,P019,2
O00471,2024-12-13,C004,P017,4
O00472,2024-06-01,C019,P019,5
O00473,2024-04-13,C037,P015,4
O00474,2024-01-19,C041,P008,2
O00475,2024-01-03,C008,P016,5
O00476,2024-05-16,C016,P007,4
O00477,2024-12-04,C028,P006,4
O00478,2024-07-10,C040,P010,5
O00479,2024-11-23,C006,P020,5
O00480,2024-02-07,C031,P012,1
O00481,2024-02-04,C015,P008,5
O00482,2024-11-01,C011,P010,4
O00483,2024-02-09,C026,P006,2
O00484,2024-01-20,C021,P014,2
O00485,2024-05-27,C032,P008,4
O00486,2024-12-04,C016,P012,2
O00487,2024-09-09,C042,P008,3
O00488,2024-02-06,C004,P007,4
O00489,2024-11-02,C044,P020,4
O00490,2024-11-04,C002,P007,5
O00491,2024-10-20,C037,P002,1
O00492,2024-11-26,C018,P008,2
O00493,2024-03-28,C020,P011,5
O00494,2024-12-24,C001,P002,3
O00495,2024-04-27,C036,P007,2
O00496,2024-10-20,C009,P004,2
O00497,2024-07-31,C033,P011,2
O00498,2024-10-12,C037,P015,3
O00499,2024-08-17,C043,P020,2
O00500,2024-08-23,C036,P008,4
O00501,2024-08-13,C016,P018,3
O00502,2024-10-12,C037,P005,4
O00503,2024-09-27,C042,P016,1
O00504,2024-02-19,C016,P012,4
O00505,2024-10-29,C007,P016,5
O00506,2024-07-15,C045,P016,1
O00507,2024-04-28,C008,P011,2
O00508,2024-07-07,C030,P006,4
O00509,2024-12-19,C012,P011,4
O00510,2024-11-09,C007,P017,4
O00511,2024-11-01,C039,P020,3
O00512,2024-06-18,C008,P019,4
O00513,2024-10-13,C034,P004,4
O00514,2024-05-20,C035,P012,1
O00515,2024-09-08,C004,P003,4
O00516,2024-08-22,C009,P014,3
O00517,2024-04-01,C040,P020,1
O00518,2024-04-07,C026,P002,3
O00519,2024-01-23,C007,P014,3
O00520,2024-02-21,C050,P019,1
O00521,2024-06-07,C014,P017,5
O00522,2024-06-23,C001,P008,2
O00523,2024-03-01,C047,P003,2
O00524,2024-06-01,C001,P019,3
O00525,2024-08-09,C028,P019,5
O00526,2024-03-26,C050,P012,4
O00527,2024-05-03,C029,P020,4
O00528,2024-05-14,C030,P001,2
O00529,2024-07-03,C020,P013,5
O00530,2024-05-14,C007,P001,5
O00531,2024-09-26,C029,P019,3
O00532,2024-04-29,C045,P014,3
O00533,2024-06-07,C005,P019,1
O00534,2024-05-18,C045,P012,4
O00535,2024-03-07,C021,P002,5
O00536,2024-09-07,C027,P001,3
O00537,2024-03-27,C009,P007,3
O00538,2024-04-18,C032,P015,3
O00539,2024-10-17,C010,P004,1
O00540,2024-12-13,C014,P018,4
O00541,2024-09-02,C037,P005,4
O00542,2024-12-01,C003,P010,5
O00543,2024-11-08,C023,P005,5
O00544,2024-06-25,C030,P010,3
O00545,2024-10-08,C007,P010,5
O00546,2024-04-30,C015,P001,3
O00547,2024-06-17,C018,P012,4
O00548,2024-07-14,C034,P016,4
O00549,2024-12-17,C049,P019,5
O00550,2024-11-06,C042,P007,4
O00551,2024-06-28,C010,P018,1
O00552,2024-08-26,C001,P018,1
O00553,2024-03-15,C003,P020,3
O00554,2024-10-21,C030,P008,3
O00555,2024-07-21,C008,P018,4
O00556,2024-07-13,C012,P012,3
O00557,2024-10-07,C043,P002,3
O00558,2024-08-19,C044,P006,5
O00559,2024-01-27,C042,P014,2
O00560,2024-04-15,C013,P004,3
O00561,2024-03-05,C031,P009,3
O00562,2024-09-25,C031,P016,3
O00563,2024-01-13,C010,P003,5
O00564,2024-03-15,C028,P010,5
O00565,2024-08-06,C027,P005,3
O00566,2024-09-11,C020,P011,3
O00567,2024-07-03,C038,P005,3
O00568,2024-11-11,C034,P020,1
O00569,2024-12-02,C027,P002,3
O00570,2024-02-18,C037,P020,2
O00571,2024-12-14,C039,P016,1
O00572,2024-08-12,C029,P018,1
O00573,2024-08-20,C014,P018,3
O00574,2024-02-04,C038,P004,1
O00575,2024-08-15,C036,P019,4
O00576,2024-09-22,C050,P012,3
O00577,2024-07-31,C008,P020,2
O00578,2024-01-31,C021,P018,4
O00579,2024-07-10,C047,P012,3
O00580,2024-12-08,C026,P008,4
O00581,2024-09-21,C048,P003,4
O00582,2024-02-20,C001,P003,1
O00583,2024-12-17,C002,P008,2
O00584,2024-12-16,C040,P017,3
O00585,2024-03-02,C018,P011,5
O00586,2024-10-20,C027,P010,1
O00587,2024-05-28,C022,P005,1
O00588,2024-08-05,C021,P012,5
O00589,2024-06-11,C047,P013,5
O00590,2024-10-13,C005,P020,1
O00591,2024-12-30,C039,P015,3
O00592,2024-10-18,C045,P013,4
O00593,2024-12-06,C033,P019,1
O00594,2024-12-12,C020,P009,2
O00595,2024-02-02,C009,P019,2
O00596,2024-04-02,C035,P008,4
O00597,2024-09-21,C024,P003,2
O00598,2024-08-03,C008,P009,3
O00599,2024-01-19,C018,P003,2
O00600,2024-02-04,C049,P003,4
O00601,2024-07-09,C014,P018,1
O00602,2024-08-13,C009,P016,2
O00603,2024-03-02,C035,P005,2
O00604,2024-03-03,C010,P017,5
O00605,2024-02-17,C046,P002,5
O00606,2024-07-25,C043,P006,3
O00607,2024-01-03,C050,P015,1
O00608,2024-07-28,C046,P007,4
O00609,2024-06-23,C013,P015,3
O00610,2024-06-19,C011,P018,5
O00611,2024-09-05,C018,P002,2
O00612,2024-07-10,C024,P001,5
O00613,2024-09-23,C044,P019,5
O00614,2024-10-06,C037,P011,2
O00615,2024-12-02,C033,P011,4
O00616,2024-10-19,C044,P010,2
O00617,2024-07-08,C033,P009,2
O00618,2024-06-29,C019,P014,2
O00619,2024-03-27,C021,P012,4
O00620,2024-08-07,C026,P004,2
O00621,2024-02-20,C005,P013,4
O00622,2024-12-06,C038,P014,3
O00623,2024-11-05,C033,P003,4
O00624,2024-02-13,C037,P008,5
O00625,2024-10-14,C027,P016,1
O00626,2024-02-12,C040,P013,5
O00627,2024-09-20,C048,P003,1
O00628,2024-02-02,C029,P001,3
O00629,2024-06-27,C023,P012,2
O00630,2024-08-28,C006,P010,4
O00631,2024-09-23,C039,P020,4
O00632,2024-06-02,C046,P011,5
O00633,2024-12-03,C035,P019,3
O00634,2024-10-10,C044,P005,5
O00635,2024-03-17,C044,P009,2
O00636,2024-09-02,C040,P003,2
O00637,2024-09-24,C026,P012,2
O00638,2024-05-02,C005,P004,3
O00639,2024-09-27,C001,P010,4
O00640,2024-11-24,C011,P007,5
O00641,2024-10-26,C022,P004,2
O00642,2024-10-06,C038,P002,2
O00643,2024-08-20,C023,P011,5
O00644,2024-04-09,C002,P019,3
O00645,2024-10-18,C011,P004,2
O00646,2024-05-13,C049,P009,5
O00647,2024-07-13,C050,P005,3
O00648,2024-04-25,C019,P017,5
O00649,2024-04-24,C041,P009,5
O00650,2024-02-27,C036,P020,5
O00651,2024-12-17,C047,P005,3
O00652,2024-02-24,C045,P002,4
O00653,2024-02-01,C032,P012,5
O00654,2024-12-08,C020,P014,2
O00655,2024-07-22,C032,P020,1
O00656,2024-06-09,C016,P018,2
O00657,2024-09-26,C018,P018,4
O00658,2024-05-20,C031,P013,3
O00659,2024-02-16,C029,P008,1
O00660,2024-09-24,C030,P009,3
O00661,2024-03-05,C020,P003,1
O00662,2024-07-21,C021,P009,3
O00663,2024-12-13,C001,P008,3
O00664,2024-12-08,C031,P001,4
O00665,2024-05-12,C029,P005,3
O00666,2024-10-12,C047,P011,3
O00667,2024-08-12,C026,P008,4
O00668,2024-06-24,C024,P020,4
O00669,2024-02-21,C004,P010,5
O00670,2024-05-17,C010,P020,2
O00671,2024-08-26,C017,P014,3
O00672,2024-12-27,C019,P001,2
O00673,2024-01-02,C019,P005,3
O00674,2024-09-19,C020,P015,1
O00675,2024-11-05,C039,P011,3
O00676,2024-12-14,C007,P007,1
O00677,2024-06-04,C017,P011,3
O00678,2024-02-13,C009,P019,5
O00679,2024-04-09,C016,P008,5
O00680,2024-11-07,C035,P001,3
O00681,2024-11-17,C003,P007,1
O00682,2024-08-21,C017,P019,2
O00683,2024-02-14,C002,P016,1
O00684,2024-02-14,C048,P017,4
O00685,2024-06-24,C037,P019,5
O00686,2024-08-03,C013,P003,3
O00687,2024-01-12,C010,P006,1
O00688,2024-09-08,C005,P002,1
O00689,2024-07-18,C024,P001,5
O00690,2024-01-05,C038,P017,2
O00691,2024-02-05,C030,P019,1
O00692,2024-06-15,C045,P004,1
O00693,2024-09-21,C018,P015,2
O00694,2024-10-29,C014,P011,4
O00695,2024-06-06,C024,P002,5
O00696,2024-04-18,C011,P019,2
O00697,2024-12-20,C049,P018,4
O00698,2024-06-16,C010,P012,1
O00699,2024-04-25,C024,P015,1
O00700,2024-06-10,C027,P008,1
O00701,2024-01-05,C003,P016,5
O00702,2024-04-20,C024,P009,3
O00703,2024-07-07,C023,P020,5
O00704,2024-12-02,C013,P002,1
O00705,2024-09-27,C007,P004,1
O00706,2024-10-12,C003,P020,5
O00707,2024-07-18,C001,P006,1
O00708,2024-02-10,C025,P007,1
O00709,2024-05-23,C005,P016,3
O00710,2024-12-30,C048,P004,4
O00711,2024-01-17,C013,P011,2
O00712,2024-11-17,C033,P006,3
O00713,2024-09-07,C034,P004,4
O00714,2024-04-13,C025,P020,3
O00715,2024-10-11,C045,P004,2
O00716,2024-11-02,C006,P002,1
O00717,2024-01-16,C012,P014,3
O00718,2024-02-08,C013,P018,5
O00719,2024-08-31,C007,P003,4
O00720,2024-12-31,C015,P015,5
O00721,2024-01-09,C016,P011,1
O00722,2024-08-31,C039,P017,1
O00723,2024-02-19,C016,P003,3
O00724,2024-08-25,C044,P020,1
O00725,2024-08-16,C039,P013,3
O00726,2024-02-03,C046,P017,5
O00727,2024-09-06,C006,P008,2
O00728,2024-11-24,C050,P019,3
O00729,2024-11-12,C031,P013,4
O00730,2024-01-11,C050,P003,1
O00731,2024-03-31,C018,P019,5
O00732,2024-03-29,C048,P016,2
O00733,2024-06-14,C030,P007,5
O00734,2024-02-22,C004,P011,4
