age,income,credit_score,debt_ratio,num_loans,employed,approved
26,51761,548,0.327,1,1,1
33,147988,680,0.314,0,0,1
31,120521,756,0.324,5,0,1
50,90371,578,0.153,2,1,1
53,50837,837,0.194,0,0,1
52,87683,706,0.27,5,1,1
62,55009,766,0.52,4,1,0
54,135887,505,0.345,4,1,1
35,108117,763,0.277,0,1,1
25,84218,604,0.534,0,1,0
48,34718,742,0.583,1,0,0
61,57732,777,0.538,0,0,1
63,103619,572,0.222,3,0,1
31,124525,575,0.276,2,1,1
31,120086,502,0.622,4,1,0
22,46656,703,0.386,0,0,0
27,90518,766,0.31,4,0,1
45,116214,631,0.458,5,0,0
45,45585,539,0.501,0,0,0
37,81226,597,0.264,3,1,1
34,89644,629,0.383,3,0,0
57,73313,818,0.489,0,1,1
41,42595,525,0.176,1,0,1
56,72676,607,0.352,4,0,1
63,72635,716,0.183,5,1,1
34,77337,567,0.202,2,0,1
29,66872,807,0.266,0,0,1
62,69752,816,0.422,1,1,1
48,80327,620,0.302,5,0,1
33,95093,755,0.253,3,0,1
48,73219,759,0.358,2,0,0
43,70571,732,0.178,0,1,1
60,84127,548,0.414,4,1,0
32,41583,498,0.52,2,1,0
64,96251,608,0.338,3,0,1
62,81435,528,0.32,5,0,1
28,82590,588,0.406,3,0,0
28,114007,716,0.046,5,0,1
44,41121,697,0.431,3,1,0
22,40819,557,0.815,2,0,0
34,89643,486,0.332,5,1,1
40,81248,563,0.332,3,1,1
63,86450,648,0.462,4,1,0
64,69287,768,0.597,1,0,0
27,102773,615,0.496,4,0,0
60,112891,585,0.027,3,1,1
25,96486,683,0.435,0,1,1
53,74345,506,0.736,1,0,0
58,38951,563,0.443,5,0,0
60,106616,493,0.177,3,1,1
30,124911,674,0.392,4,1,0
60,102064,643,0.158,1,0,1
26,59867,695,0.535,1,1,1
43,103113,708,0.207,5,0,1
41,110078,626,0.361,2,1,1
34,140553,801,0.221,5,1,1
21,59941,819,0.268,4,0,1
54,75244,520,0.573,2,1,0
35,105799,820,0.366,5,0,0
50,83104,552,0.266,4,0,1
39,55088,571,0.178,0,1,1
37,94171,676,0.069,0,0,1
59,99736,490,0.162,0,1,1
25,83997,614,0.367,4,1,0
53,87958,551,0.497,0,1,0
53,74400,658,0.266,1,0,1
37,136647,781,0.586,2,0,1
32,59428,821,0.242,0,0,1
21,66316,558,0.314,1,1,1
62,81765,681,0.188,4,0,1
62,110790,655,0.499,5,1,0
31,48227,633,0.665,2,0,0
22,51490,714,0.086,4,0,1
26,39917,846,0.298,3,1,1
23,82388,629,0.54,2,1,0
57,55069,504,0.133,3,1,1
60,71194,818,0.435,5,0,1
27,102666,824,0.533,0,1,0
53,65070,599,0.362,3,1,1
28,88318,665,0.433,0,1,0
37,73349,799,0.614,5,1,1
47,103053,666,0.642,3,0,0
52,96187,658,0.341,0,0,1
59,63932,821,0.27,3,1,1
22,76782,786,0.212,2,0,1
29,117368,667,0.497,0,0,0
33,93474,539,0.144,5,0,1
34,49952,642,0.312,2,0,1
64,102459,730,0.365,0,0,1
55,55723,580,0.275,3,1,1
35,133537,678,0.392,2,1,0
63,116563,723,0.735,3,0,1
42,90149,511,0.332,0,0,1
43,86059,690,0.285,4,0,1
40,75705,752,0.502,2,1,0
27,103284,559,0.386,2,0,1
62,71538,682,0.566,4,0,0
21,88451,742,0.375,3,1,1
28,110518,496,0.313,0,1,1
31,66911,718,0.082,3,0,1
33,65650,576,0.107,3,1,1
26,53623,627,0.075,1,1,0
21,56117,719,0.407,1,0,1
50,42951,481,0.146,0,1,1
63,105155,486,0.538,5,0,0
26,153411,645,0.355,0,1,1
34,134137,831,0.313,3,0,1
43,46103,482,0.223,5,0,0
61,104973,771,0.443,2,1,1
51,133986,507,0.229,1,1,0
54,69416,660,0.202,4,0,1
46,84395,639,0.528,3,0,0
39,40336,653,0.403,0,1,0
29,89421,510,0.315,3,1,0
59,56135,758,0.446,0,1,1
56,87346,581,0.351,2,1,1
22,47162,765,0.407,1,0,1
52,98494,722,0.227,5,0,1
24,116580,683,0.661,5,1,0
53,61923,594,0.263,4,1,1
57,54712,721,0.583,4,0,1
26,38298,849,0.322,0,1,1
40,74199,821,0.471,0,0,1
26,66449,819,0.46,4,0,0
45,47330,561,0.522,2,0,0
61,95446,696,0.224,3,0,1
24,69582,627,0.511,4,0,0
38,55896,837,0.627,2,1,0
63,67081,831,0.311,4,0,1
34,118505,801,0.355,4,1,0
26,100587,540,0.271,1,1,1
42,77827,597,0.298,4,1,1
43,101158,743,0.607,1,0,0
50,54254,757,0.199,1,0,1
34,82379,609,0.209,4,0,1
63,85761,530,0.592,5,1,0
43,69100,530,0.444,0,0,0
33,94861,733,0.668,3,1,0
63,61982,648,0.282,3,1,1
61,97362,661,0.369,3,1,0
42,98805,781,0.251,4,0,1
22,29341,486,0.371,0,0,1
47,123545,759,0.084,4,1,1
45,28031,581,0.453,1,0,0
27,65653,824,0.399,0,0,0
48,116614,833,0.341,2,1,1
57,72890,665,0.291,0,1,1
25,48756,596,0.216,3,0,0
52,55545,566,0.459,3,0,0
27,116678,547,0.174,3,0,0
53,41574,849,0.427,0,0,0
39,120922,549,0.661,4,1,0
21,79895,645,0.573,0,1,1
63,53660,657,0.124,1,0,0
28,66414,731,0.269,2,0,1
47,57052,791,0.413,4,0,0
28,110297,686,0.339,2,0,0
62,105251,760,0.14,4,0,1
53,44625,689,0.408,5,0,0
56,70721,641,0.348,4,1,1
40,60213,538,0.637,0,1,0
41,128089,557,0.312,4,1,1
48,50778,639,0.525,1,1,0
55,142805,497,0.16,5,0,1
58,80507,597,0.196,5,1,1
21,54235,651,0.458,0,0,0
50,64261,654,0.513,0,1,1
25,61524,781,0.206,4,1,1
33,52137,838,0.354,0,1,1
57,84200,749,0.143,5,0,1
32,52997,509,0.323,3,1,0
56,37973,631,0.476,3,1,0
41,71315,750,0.285,5,0,1
31,43337,700,0.313,1,1,1
35,62599,649,0.181,3,0,0
44,59253,641,0.253,5,0,0
54,60044,630,0.614,0,1,0
47,164077,694,0.361,1,0,0
62,83075,546,0.2,0,0,1
59,88755,671,0.303,2,0,0
54,43740,556,0.11,0,0,0
47,64788,731,0.198,1,1,1
33,87826,799,0.554,5,1,1
39,56907,667,0.329,2,0,1
26,111924,623,0.634,2,0,0
37,53467,828,0.336,2,1,1
61,73683,724,0.345,5,1,1
39,66346,638,0.446,2,1,0
26,86273,490,0.0,2,1,1
49,65094,485,0.381,5,1,1
63,74083,561,0.343,0,0,1
59,74990,567,0.573,2,1,1
33,62989,746,0.495,4,1,0
40,96523,665,0.18,3,0,1
44,88538,849,0.536,5,0,1
31,78963,680,0.311,5,1,1
32,70059,814,0.214,2,1,1
31,107640,684,0.38,4,1,1
64,74998,612,0.32,1,0,1
53,73161,744,0.581,1,0,1
57,84491,646,0.401,5,1,0
56,147497,581,0.381,0,0,1
63,50952,655,0.485,2,1,0
25,106639,726,0.514,3,0,1
59,41988,618,0.468,2,0,0
23,87886,740,0.563,5,0,1
41,141356,842,0.441,1,1,1
47,96644,632,0.375,3,1,1
36,86463,589,0.536,0,0,0
27,66943,628,0.336,1,0,1
29,82341,790,0.355,1,0,1
57,74573,546,0.608,4,1,0
35,61862,840,0.593,1,1,1
34,73593,633,0.349,4,1,0
61,87307,791,0.282,2,0,1
27,62270,771,0.569,3,0,0
61,61424,769,0.47,5,0,1
61,50598,816,0.397,5,1,1
47,93387,548,0.302,0,0,1
28,98579,699,0.4,4,0,1
27,88330,516,0.347,5,1,1
33,114184,590,0.25,4,0,1
46,83995,495,0.369,1,1,1
27,93429,732,0.39,3,0,1
41,90590,704,0.294,3,1,1
26,78883,753,0.486,3,0,1
44,67641,545,0.543,2,1,0
21,176788,602,0.495,3,0,0
52,69534,730,0.309,3,0,1
23,64518,785,0.463,2,0,1
29,94813,807,0.362,4,1,1
28,88957,507,0.165,4,0,1
57,49815,628,0.451,1,0,0
23,120655,483,0.372,3,0,1
39,78809,782,0.739,4,1,1
47,55212,525,0.569,2,1,0
43,123479,784,0.457,4,1,1
50,101391,537,0.387,0,0,1
56,52322,485,0.375,2,1,0
38,151717,805,0.199,4,1,1
57,102573,642,0.089,5,1,1
34,81161,637,0.219,3,1,1
64,142106,719,0.343,3,0,1
43,86121,581,0.034,2,1,1
53,80654,735,0.268,4,0,1
59,64644,638,0.313,2,1,1
55,99848,580,0.318,0,0,1
58,96237,626,0.251,1,1,0
44,81870,482,0.299,3,1,1
22,61775,591,0.609,5,1,0
42,85240,698,0.449,2,1,0
28,79485,531,0.266,5,1,0
60,51074,523,0.34,4,0,0
31,48660,722,0.346,3,1,1
31,99266,638,0.235,4,1,1
31,32764,530,0.235,2,0,0
49,87522,756,0.502,2,1,0
46,68901,766,0.287,4,1,1
62,128752,492,0.186,3,1,1
39,68531,554,0.344,3,1,1
33,102598,617,0.368,2,0,0
23,70887,750,0.054,5,0,1
21,84759,507,0.344,0,0,1
37,105414,778,0.48,0,1,1
61,69276,598,0.418,2,1,0
44,115445,526,0.684,0,1,0
60,57524,799,0.538,2,0,1
25,90297,512,0.567,3,1,0
25,112497,527,0.77,2,0,0
57,102618,831,0.464,1,0,1
25,159295,672,0.374,1,1,1
23,62352,651,0.496,3,0,0
38,50264,734,0.266,5,1,1
61,57511,713,0.366,4,0,1
51,102633,707,0.253,3,0,1
25,96958,488,0.41,0,1,1
57,84419,684,0.252,1,1,1
58,54980,583,0.247,2,1,1
56,106528,778,0.412,1,0,0
60,53056,666,0.329,4,1,1
31,122197,525,0.061,2,1,1
64,221429,807,0.132,5,0,1
35,92597,585,0.178,1,0,1
56,99892,580,0.218,2,0,1
46,68546,826,0.412,4,1,0
55,43225,766,0.383,1,1,0
48,65960,798,0.51,4,1,1
49,55561,725,0.463,3,1,1
48,49085,816,0.511,3,0,0
55,148833,522,0.441,2,1,0
53,89613,701,0.381,5,1,0
26,93027,588,0.515,4,0,0
57,73101,627,0.488,1,1,0
44,76669,568,0.406,3,0,0
35,114159,555,0.541,5,1,0
43,80534,643,0.0,1,1,1
63,98076,819,0.306,3,1,1
58,76051,715,0.304,4,1,1
57,72258,609,0.523,1,1,0
41,49778,640,0.586,3,0,0
55,40764,676,0.132,3,0,1
37,74325,570,0.562,1,1,0
51,83077,672,0.174,1,0,1
49,51928,737,0.179,3,1,1
31,80474,569,0.315,1,0,1
32,82998,696,0.302,5,1,1
23,38298,742,0.116,3,1,1
27,59128,672,0.447,4,0,0
40,93929,588,0.452,2,1,0
42,93267,685,0.508,1,0,0
28,54392,773,0.285,2,0,0
39,86095,562,0.344,4,1,1
47,116494,692,0.345,2,0,1
31,106909,731,0.603,1,1,1
35,78779,598,0.0,0,1,1
37,69145,623,0.206,3,1,1
43,65348,808,0.351,4,1,1
37,95941,614,0.187,3,1,1
53,87207,701,0.311,1,0,1
35,101524,535,0.331,1,0,1
40,85298,822,0.251,2,0,1
37,108480,700,0.36,2,0,1
29,84193,761,0.444,1,0,1
51,107194,702,0.315,5,0,1
31,110475,611,0.282,1,1,1
34,61462,605,0.325,1,1,1
55,43257,739,0.349,3,1,1
62,139801,798,0.089,4,0,1
50,89106,527,0.419,2,1,1
61,44698,792,0.282,4,1,1
58,63444,787,0.539,0,0,1
42,106714,520,0.439,3,1,0
54,73856,520,0.526,0,1,1
35,68086,737,0.198,0,1,1
41,132995,791,0.294,3,0,1
44,56455,625,0.164,1,1,1
63,61599,717,0.244,0,1,1
58,87706,849,0.538,1,1,1
42,93378,599,0.573,4,0,0
49,96904,563,0.178,3,0,1
29,112049,846,0.281,2,0,1
56,87313,583,0.339,5,1,1
45,96668,654,0.438,2,0,0
44,74387,643,0.086,5,0,1
54,83258,673,0.11,2,1,1
48,84575,579,0.423,0,0,0
24,87820,731,0.058,0,1,1
33,106739,736,0.283,1,1,1
28,98919,554,0.374,1,0,1
53,82721,657,0.412,0,1,1
22,61363,501,0.329,2,1,0
29,83403,561,0.295,5,1,0
47,80656,845,0.477,1,1,1
51,87148,667,0.393,1,0,1
43,176317,710,0.253,5,1,1
58,67808,808,0.356,1,1,0
61,94425,744,0.407,4,1,0
26,118387,773,0.608,3,1,1
62,84293,743,0.468,5,1,1
48,184610,664,0.532,3,1,0
48,71356,714,0.258,3,0,1
25,91234,586,0.271,1,0,0
48,61585,809,0.315,3,0,1
52,72022,546,0.328,4,1,0
46,88866,807,0.199,5,0,1
24,109531,805,0.54,0,1,1
44,91075,532,0.483,0,1,0
62,126557,742,0.304,0,1,1
52,78788,846,0.446,4,1,1
27,72511,691,0.383,0,0,1
63,209850,605,0.458,5,0,0
63,93502,805,0.148,2,1,0
28,63319,669,0.328,1,0,0
56,63880,525,0.341,5,0,1
38,58561,572,0.444,4,1,0
47,113047,732,0.256,3,0,1
40,71698,648,0.0,5,1,1
55,85164,560,0.188,4,0,1
64,79660,775,0.341,3,0,1
55,105217,524,0.36,1,1,1
61,60560,561,0.603,5,1,0
62,55899,652,0.437,4,1,0
24,88103,494,0.362,5,0,1
32,100518,623,0.345,5,0,1
52,91504,816,0.516,3,1,1
46,61356,828,0.261,2,0,1
23,103247,802,0.329,5,0,1
25,62781,599,0.187,5,0,1
43,67861,504,0.563,0,1,1
48,58534,781,0.409,3,0,1
28,128433,618,0.244,3,0,1
28,101666,757,0.333,4,1,0
26,100660,524,0.426,5,1,0
45,126031,727,0.312,1,0,1
21,217985,696,0.27,5,0,0
46,44780,820,0.252,3,0,1
41,62901,517,0.401,0,0,0
41,65650,630,0.296,3,1,1
50,60474,846,0.282,0,0,1
43,55860,624,0.15,5,0,1
53,73341,723,0.362,4,0,1
54,53207,539,0.323,5,1,1
61,91585,749,0.302,3,1,1
56,82938,582,0.38,2,1,1
43,96386,691,0.462,2,1,0
42,97291,805,0.455,5,1,0
31,100590,724,0.433,0,1,0
47,71472,655,0.314,5,1,1
27,171126,550,0.265,2,1,1
61,88416,606,0.193,3,0,0
58,42442,794,0.261,4,0,1
26,57350,559,0.353,0,1,1
55,44293,722,0.232,0,0,1
26,81947,659,0.364,0,1,1
52,78051,598,0.205,4,1,1
24,69134,745,0.101,0,0,1
42,164650,613,0.473,3,0,0
49,98706,586,0.279,0,1,1
53,105018,675,0.224,4,0,1
39,58799,760,0.186,5,1,1
61,57415,799,0.413,2,0,0
55,82507,713,0.556,1,1,1
30,86535,724,0.29,2,0,1
50,42533,771,0.318,4,1,1
53,76470,579,0.511,4,1,0
35,81853,572,0.078,3,0,1
53,75543,659,0.645,3,1,0
60,61271,713,0.717,3,1,1
56,67435,719,0.0,1,0,1
54,76562,536,0.335,1,1,1
48,84081,768,0.242,5,1,1
32,100653,614,0.31,3,1,1
55,118902,804,0.287,5,0,1
37,73477,748,0.472,3,0,0
44,69432,843,0.333,2,0,1
34,94934,713,0.213,3,1,1
34,100866,675,0.324,4,1,1
27,69967,549,0.427,1,1,1
63,107408,627,0.172,2,1,1
27,114761,797,0.103,4,0,0
24,128008,621,0.649,0,0,0
62,151777,499,0.254,0,1,1
45,60145,570,0.329,0,1,1
40,81848,700,0.29,3,1,1
53,81773,712,0.432,1,1,1
37,78702,844,0.616,2,1,0
26,64894,825,0.437,0,1,1
53,48427,676,0.122,1,1,1
28,84136,685,0.142,0,1,1
45,62245,776,0.29,4,0,1
62,83940,497,0.31,2,1,1
62,61688,700,0.092,1,1,1
36,55430,655,0.473,3,0,0
55,88412,769,0.187,5,1,1
47,85869,776,0.574,4,1,1
42,99758,722,0.623,5,1,1
27,175047,723,0.313,2,1,0
37,89752,735,0.416,2,0,0
49,96523,694,0.165,1,0,0
64,55860,564,0.444,1,0,0
21,51914,585,0.275,5,1,0
52,141739,754,0.187,0,1,1
58,58955,708,0.307,5,1,1
62,56521,568,0.28,5,0,1
39,80344,804,0.301,5,0,1
26,78920,842,0.492,3,1,1
32,59390,711,0.232,5,1,1
58,73205,564,0.61,0,1,1
59,125246,827,0.151,4,1,1
49,61430,567,0.592,3,1,0
26,50010,640,0.198,5,1,0
26,113285,797,0.35,0,0,1
42,96767,672,0.276,5,1,1
46,65550,569,0.298,3,1,1
22,46817,509,0.47,0,1,0
51,62764,613,0.575,3,0,0
44,79906,728,0.529,0,1,1
21,122485,744,0.289,0,1,1
25,56667,562,0.378,3,0,0
40,79077,538,0.233,4,0,0
52,103162,739,0.201,0,0,1
57,35394,538,0.178,1,1,0
39,116959,503,0.284,2,0,1
33,53847,659,0.387,3,0,0
63,91487,691,0.063,0,0,1
41,88796,570,0.343,3,0,1
34,119057,558,0.577,2,1,0
40,98773,567,0.518,5,1,0
21,35444,606,0.262,1,1,0
34,61888,483,0.14,2,1,0
43,85488,484,0.419,0,0,0
61,76078,617,0.002,5,1,1
53,96271,487,0.517,5,0,0
55,107370,597,0.318,2,1,1
44,100782,694,0.625,2,0,0
25,75566,491,0.091,5,1,0
38,42682,708,0.488,1,0,1
64,69448,709,0.335,1,0,1
22,94229,692,0.3,1,0,0
59,55609,711,0.145,4,1,1
51,101590,779,0.439,1,0,1
33,111937,506,0.451,0,1,1
55,85149,542,0.618,0,0,0
57,27874,597,0.501,5,1,0
22,52074,734,0.261,5,0,0
25,157617,802,0.199,5,0,1
50,67270,819,0.145,1,0,1
64,40672,695,0.571,2,1,0
