Survived,Pclass,Sex,Age,SibSp,Parch,Fare
0,3,male,20.9,0,0,6.44
1,1,female,5,4,0,224.17
1,1,female,36.6,4,0,29.9
1,3,female,48.2,0,2,7.22
0,3,male,27.8,1,0,9.27
1,1,male,42.6,1,1,87.93
1,1,male,51.5,0,0,76.16
0,3,male,47.5,0,0,6.34
1,1,female,51.8,0,0,47.24
0,1,male,39.7,0,0,42.73
0,3,male,30.7,0,1,7.4
0,3,male,8.1,0,1,10.3
0,3,female,26.4,2,1,17.18
1,1,male,18.3,0,0,40.94
0,3,male,59,0,0,9.57
1,1,female,27.3,1,0,57.23
1,2,female,31.4,1,0,84.98
0,3,male,37.1,0,0,35.94
0,3,male,30.3,0,0,21.1
0,3,female,52.6,0,0,7.77
0,3,male,21.3,0,2,5.7
1,3,female,32.3,0,0,8.81
0,1,male,19.7,0,0,45.17
1,2,male,11.9,1,0,24.1
0,2,male,21.4,0,0,40.08
1,2,male,29.2,0,0,49.08
0,3,male,23.9,1,2,23.63
1,2,female,20.4,0,1,18.92
0,3,male,10.7,0,2,16.62
0,3,male,28.6,1,2,8.75
0,3,male,9.4,0,0,5.63
0,3,female,40,1,0,17.09
0,3,female,30.8,1,0,5.1
0,3,female,10,1,0,10.26
0,1,male,25.5,3,0,50.97
1,3,male,19.5,0,0,16.82
0,2,male,34,0,0,39.07
1,1,male,47.8,0,0,48.57
0,3,male,4.4,0,0,21.69
1,1,female,31.3,0,0,47.62
0,3,male,27.5,0,0,10.91
1,3,male,38.8,2,0,17.98
0,3,male,32.6,0,0,16.81
0,2,male,19.5,0,0,97.43
0,1,male,25.4,0,0,41.58
0,3,male,19,0,0,15.86
1,2,female,44.2,0,1,28.82
1,3,female,30,0,0,29.66
0,3,male,55.4,0,0,6.7
0,3,male,28.9,0,0,18.94
0,2,male,20.1,1,0,26.8
1,2,male,9.3,1,1,16.42
0,3,female,5.4,0,0,11.43
1,2,female,8.3,0,0,18.12
1,1,male,33.3,1,0,81.28
1,3,male,36.6,1,0,26.98
1,3,female,8.4,0,0,13.42
0,3,male,41.8,1,0,14.99
1,3,female,23.2,0,0,12.31
1,1,male,31.7,1,0,28.41
0,3,female,51.5,4,0,7.65
1,3,male,41.8,0,0,11.77
1,1,female,26.1,1,0,49.14
0,3,male,17.7,0,0,7.01
1,3,female,1,3,0,12.01
0,3,female,20,0,0,8.9
0,3,male,26.8,1,0,7.99
0,3,male,16.4,0,2,11.24
1,2,male,27.9,0,0,12.86
1,2,female,30.7,0,0,62.55
0,3,male,26.7,3,0,25.23
0,3,male,20.9,1,0,17.3
0,3,male,32,1,0,6.12
1,3,female,35.7,2,0,19.96
0,3,male,15,0,0,21.5
0,3,female,48.7,0,1,19.6
0,3,female,28.4,0,0,6.21
0,3,male,30,0,0,15.33
1,3,female,39.3,0,1,22.98
0,3,male,32.8,0,0,13.61
0,3,male,42.6,0,1,15.4
1,2,male,33.6,0,0,22.26
1,2,male,21.4,0,1,25.05
0,1,female,34.6,0,0,27.27
1,3,female,14.3,3,0,15.19
0,1,male,31.2,1,2,30.52
1,3,female,29.3,3,0,10.71
0,3,male,26.9,0,0,8.46
1,2,female,28,0,0,25.77
0,3,female,4.3,1,0,6.43
0,1,male,22.3,0,0,101.47
1,1,female,31,0,0,128.01
1,3,male,31.9,0,0,6.78
1,2,male,15.8,0,0,12.2
0,1,male,46.8,0,0,35.22
0,3,female,18,0,0,25.97
1,3,female,42.8,0,0,12.51
1,1,female,35.5,0,0,65.93
0,3,male,21,0,0,6.13
0,1,male,53.7,1,0,93.16
0,1,female,13.6,0,0,156.62
0,3,male,42.1,0,0,22.61
1,3,female,43.2,1,0,14.84
1,3,male,20.6,0,1,5.78
0,3,male,48.5,0,0,6.19
0,3,male,26.3,0,0,5.51
0,3,male,33.6,0,0,7.98
0,2,male,33.2,0,1,12.92
1,3,female,27.9,1,2,8.01
0,2,male,40.6,0,0,19.72
1,2,female,40.4,0,0,67.29
1,1,male,6.1,0,1,86.27
0,1,male,47.3,0,0,142.11
0,3,male,7.3,0,0,17.39
0,3,male,43.6,0,0,6.19
1,3,male,44.9,0,0,18.32
0,2,male,15,0,2,16.43
0,1,male,24.2,0,2,91.25
1,1,female,14.8,0,0,52.1
1,2,female,26.8,1,0,131.26
1,3,female,25.5,0,1,8.06
1,3,female,40.2,0,0,8.27
1,3,male,47.4,0,0,31.69
1,2,female,48.5,1,1,10.5
0,3,male,22.1,0,0,16.93
1,3,female,26.9,0,0,17.92
1,3,female,7,1,0,23.1
0,3,male,18.8,1,1,41.67
0,2,male,42.7,0,0,84.27
1,2,male,51.5,0,0,11.35
1,2,male,13,1,0,44.5
0,3,male,21.7,4,0,15.39
1,1,female,29.3,1,1,92.75
0,1,male,33.5,0,0,33.93
0,1,male,18.8,0,0,93.27
1,1,male,35.4,0,0,287.9
1,3,female,23.3,1,2,29.28
0,3,male,29.5,0,0,10.78
0,3,female,37.1,0,2,5.41
0,1,female,29.8,1,0,54.24
0,3,female,23.8,0,1,22.51
1,3,male,28.2,1,1,17.09
0,1,male,28.5,0,0,64.97
0,2,male,24.7,0,2,11.13
0,2,male,26.2,0,0,21.13
1,3,male,51.3,1,0,11.33
1,3,female,37.3,0,0,31.39
0,1,male,25.7,0,0,91.6
0,2,male,39.1,2,0,17.47
1,3,female,25.2,0,0,12.45
0,3,male,45.5,0,0,5.68
0,3,male,34.7,0,0,40.96
0,3,male,28.3,0,0,9.46
1,1,male,35.7,0,0,67.24
1,1,male,8.5,0,0,53.53
0,3,male,14.5,0,0,16.47
0,1,male,13.6,0,0,95.55
0,3,male,31.6,0,0,17.56
0,3,female,53.1,0,0,8.12
0,3,male,59.8,0,1,8.79
0,2,male,38.3,0,2,12.68
0,3,female,36.5,0,0,15.66
0,3,male,5.4,0,0,5.41
1,3,male,22.4,0,1,14.11
0,3,male,19.1,1,1,25.38
1,2,female,21.3,0,0,54.3
0,3,male,27.4,2,2,10.96
0,3,male,23.3,3,0,11.15
1,1,female,3,0,0,30.21
1,1,female,39.8,0,0,97.21
1,1,male,15.2,0,0,136.92
1,1,female,32.9,1,0,43.24
1,1,male,57.7,0,0,60.55
0,3,male,17.3,0,0,23.25
1,1,female,1,0,1,161.28
0,2,male,25.8,1,1,15.57
0,3,male,44.6,1,0,13
0,1,male,56.1,0,1,38.9
0,3,male,13.1,0,1,6.07
1,2,male,36.4,0,1,58.41
1,1,female,23.4,0,0,136.65
0,3,male,28.3,1,0,19.27
0,3,male,65.4,0,2,5.5
1,3,female,9.4,0,0,23.56
0,3,male,33.1,0,0,10.76
0,3,female,36,1,0,9.19
0,2,male,44.4,1,0,25.81
1,1,female,31,0,0,31.23
0,3,male,33.9,1,0,19.13
0,3,male,24.4,0,0,13.73
0,3,female,33.3,0,1,7.07
1,2,female,25.1,0,1,14.17
1,2,female,38.1,0,0,14.07
0,3,male,24.7,0,2,5.59
0,2,female,34.8,2,0,27.72
0,3,male,29.3,0,0,23.35
1,3,male,44.9,0,0,5.18
1,2,female,29,0,1,11
0,3,male,5.8,0,2,13.5
0,3,male,46.7,1,0,22.12
1,1,female,17.5,0,1,50.72
0,3,female,20.9,0,0,9.3
1,3,female,21.7,1,0,14.07
0,3,male,48.3,0,0,8.2
0,2,male,1,0,0,10.54
0,3,male,72.1,0,0,18.29
0,2,male,44,0,1,29.65
0,1,male,32.7,4,0,81.5
1,3,male,29,1,0,18.54
0,1,male,33.6,0,0,98.1
1,2,female,36.7,1,0,14.61
1,3,female,38.4,0,1,9.35
1,3,female,37.2,0,0,6.35
1,3,female,30.9,0,0,6.39
0,3,male,27,0,1,16.28
1,2,male,27.7,0,0,49.12
1,2,female,27.1,0,0,75.79
1,2,female,45,2,0,29.8
0,3,male,37.7,0,0,7.03
0,3,male,1,0,0,6.12
1,3,female,38.6,0,0,21.76
0,3,male,32.3,0,1,13.65
1,1,female,29.4,0,1,87.6
0,3,female,24.5,0,0,20.21
1,1,male,44.9,1,0,103.97
0,3,male,42.5,0,1,22.99
1,2,female,19.3,0,0,11.16
1,3,male,35.2,0,0,18.76
1,2,male,16.6,0,0,48.06
0,1,male,11.1,0,1,46.91
1,1,male,21.2,1,0,91.49
1,3,male,41.3,0,0,8.77
1,3,male,42.6,0,0,36.69
0,1,male,36.6,0,1,27.21
1,1,female,39.5,0,0,81.36
1,3,female,36.7,0,2,6.82
1,1,female,21,1,0,105.96
0,3,male,35.5,0,0,6.93
0,3,female,40.5,1,0,7.68
1,1,male,39.9,0,0,69.33
0,1,male,45.8,1,2,185.11
1,3,female,39.3,0,0,7.38
0,2,male,34.4,0,1,13.12
1,2,male,44.1,0,0,38.46
0,3,male,29.3,2,0,11.94
1,3,female,17.8,0,0,29.28
0,3,male,27.5,0,0,6.59
1,3,male,19.6,0,2,15.38
0,2,male,20.6,1,0,15.3
1,1,male,27.7,0,0,36.08
0,3,male,19,1,0,16.5
0,3,male,25.5,0,0,14.01
1,2,male,4.1,0,0,38.12
0,3,male,32.6,0,1,8.7
1,1,female,29.7,3,0,63.62
0,3,male,18.7,0,0,10.2
0,1,male,38.6,2,0,294.15
0,3,male,42.4,0,2,8.46
1,1,female,8,0,0,47.7
0,1,male,19.4,0,0,53.46
1,1,male,19.3,0,0,79.05
0,3,male,17,1,0,7.91
1,3,female,40.9,2,0,29.69
0,3,male,27.1,1,0,8.09
0,3,male,26.1,1,1,27.62
1,2,female,2.6,0,0,12.18
0,2,male,38.3,0,1,31.38
0,3,male,13,3,0,28.75
1,1,male,30.5,0,0,37.01
0,3,male,33.4,1,0,39.52
0,1,male,48.1,1,0,64.2
0,3,male,12,0,0,34.14
0,1,male,1,4,0,98.42
0,3,male,32.2,0,0,8.59
1,3,female,54,0,0,7.09
0,3,male,46.4,0,2,8.62
1,1,male,32.5,0,0,31.35
0,3,male,23.1,0,2,6.55
0,3,male,40.6,0,0,6.11
1,3,male,16.6,1,0,10.5
0,3,male,36.1,2,0,20.88
1,3,female,36.5,0,0,6.52
0,3,male,44,0,0,6.4
1,3,female,67,2,0,15.31
1,3,female,35,0,2,7.2
1,3,male,22.8,0,1,6.03
0,1,male,29.4,0,0,36.87
0,2,male,5.8,0,0,61.47
0,3,male,20.3,0,0,22.23
0,3,male,24.2,3,0,9.37
0,3,female,22.6,0,0,15.67
0,3,male,31.8,0,2,12.71
1,2,female,18.6,0,0,32.61
1,1,female,44.8,0,0,99.61
0,3,male,29.7,0,0,14.91
1,2,male,29.6,1,0,16.19
0,3,male,25.3,1,0,5.4
0,1,male,31.8,0,0,64.52
0,3,male,40.8,1,0,27.16
0,3,male,18,1,0,13.43
0,3,male,20.8,1,0,22.86
0,3,male,25.6,0,2,52.82
1,2,female,11.5,0,0,13.57
0,3,female,18.6,0,0,16.77
0,3,male,23.3,0,0,16.22
1,1,male,41.5,0,0,279.14
0,3,male,33.2,0,0,47.41
0,3,male,32.3,1,1,16.61
0,3,male,41.2,1,0,7.79
0,3,male,27.8,1,0,21.02
0,3,male,35,0,0,6.13
1,2,male,28.3,1,0,40.35
1,3,male,33.3,0,1,29.1
1,3,female,21.8,0,1,9.83
1,1,female,1,0,0,89.74
1,1,female,27.9,0,1,61.55
0,2,male,48.9,0,0,21.52
0,3,male,42.2,1,2,8.72
1,3,female,42.7,0,0,19.36
1,1,male,46.4,1,2,203.86
1,3,female,30.9,0,0,33.26
1,2,male,32.4,0,0,13.84
0,3,male,21.4,0,0,25.77
0,3,female,25.4,0,2,18.37
0,3,male,38,0,1,7.91
1,3,female,46,0,0,5.7
0,2,female,27.8,0,0,16.24
1,2,female,23.6,0,0,58.66
1,1,male,29.7,0,0,90.19
0,3,male,37.8,1,0,17.77
1,3,female,10.2,0,0,7.97
1,3,male,1,1,1,17.71
0,3,male,22.3,0,0,5.29
1,3,female,13.2,2,1,9.71
0,3,male,22.8,1,0,14.86
1,3,female,27.7,0,0,6.58
0,3,female,23.6,0,0,22.32
1,2,male,49.3,1,0,15.36
1,3,female,34.1,0,0,15.56
1,1,male,33.8,0,0,58.77
0,3,male,38.1,0,0,14.06
1,3,female,14.3,1,0,6.14
0,1,male,43.7,1,0,26.11
0,3,female,28.7,0,0,29.03
0,3,male,38.8,0,1,8.14
0,2,male,15.2,0,2,44.26
1,1,male,8.7,0,0,502.04
0,3,male,40.7,4,0,7.38
0,3,female,34.8,0,0,8.08
0,3,male,17.5,0,2,15.87
0,3,male,18,0,0,38.65
0,3,male,44.9,1,0,29.75
0,3,male,13.6,0,0,11.99
0,3,male,51.9,0,0,20.85
0,3,female,17.5,0,0,6.46
1,2,female,38.3,0,1,85.83
1,1,male,25.3,0,0,241.72
0,1,male,37.8,0,0,36.62
1,3,male,22.4,0,0,8.56
0,3,male,27.5,2,0,6.06
0,3,male,30.3,1,2,8.17
1,1,female,16.2,4,0,135.02
1,1,male,39.7,0,1,55.9
1,1,female,22.8,3,0,31.02
0,2,male,26.6,0,0,18.38
0,3,male,16.3,0,2,44.84
1,2,male,1,0,0,29.87
1,2,female,27.1,0,1,20.76
0,3,male,62.3,1,0,6.82
1,2,male,40.3,0,1,95.63
1,3,male,29.4,0,0,22.2
0,3,female,26.2,0,0,8.31
0,2,male,30,0,1,11.45
0,3,male,37.1,0,2,5.58
1,3,female,13.8,0,2,6.28
0,3,female,44.7,1,1,13.69
1,1,female,39.4,1,1,196.71
0,3,male,39.4,0,0,11.87
0,3,male,35.6,0,0,23.51
0,2,male,30,0,0,21.81
0,3,female,38.8,1,0,17.33
0,3,male,37.7,0,0,18.16
0,3,male,24.9,0,0,6.91
0,2,male,22,0,0,18.96
0,3,male,31.1,0,0,15.14
1,2,female,50.6,0,0,11.47
0,1,male,13,1,0,54.17
1,1,male,9.9,0,0,74.74
0,1,male,31.9,0,1,387.65
1,1,male,30.4,1,0,66.83
1,1,male,32,1,0,135.05
0,3,male,33,0,0,10.66
1,1,female,26.7,0,0,128.45
1,2,female,49.8,0,0,28.1
0,3,male,8.1,2,0,26.77
0,3,male,18.5,0,0,10.29
1,3,female,28.3,2,0,14.27
1,1,female,7.5,1,0,89.63
1,1,female,27.3,0,2,60.11
1,1,male,52.1,0,2,35.13
1,1,female,30,0,0,31.38
1,2,female,32.8,0,0,10.34
1,1,female,12.7,0,0,159.41
1,1,male,21.4,0,0,42.54
1,1,female,24.6,3,2,40.45
0,3,male,25.4,0,0,18.32
1,1,female,47,1,1,50.07
1,2,male,37.2,0,0,24.11
1,3,female,14.7,0,2,6.77
0,3,male,33,0,0,37.13
0,1,male,36.4,0,1,149
0,3,male,45.1,2,0,24.94
1,3,male,51,0,0,10.22
1,1,female,16,0,0,118.41
0,3,female,18.8,0,0,6.55
0,3,male,12.7,0,2,5.09
0,1,male,26.5,0,2,26.31
0,2,male,36,1,1,27.67
1,3,male,43,1,0,11.08
0,3,male,28.7,0,1,12.3
0,1,male,25.4,0,0,25.49
1,1,female,31.7,0,0,60.71
0,2,male,18.4,0,0,35.32
0,3,male,57.9,0,0,10.85
1,3,female,8,0,0,18.18
1,2,male,32.2,0,0,15.31
0,3,female,57,0,0,21.77
0,3,male,29.8,0,1,13.88
1,1,female,27.1,0,0,40.38
1,2,male,24.9,0,0,15.4
0,3,male,27.3,0,0,14.89
1,3,female,48.2,1,0,22.72
0,3,male,1,0,0,10.37
0,3,male,50.4,0,0,7.99
1,1,male,10.5,0,0,156.14
1,2,female,26.1,1,0,32.13
0,3,male,23.9,0,0,10.94
1,2,female,37.6,0,1,23.38
0,2,male,8.1,0,0,14.57
1,2,male,35.9,1,0,29.71
0,1,male,57,2,1,53.88
1,2,male,11.3,0,0,118.73
0,1,male,32.3,1,0,67.53
0,2,male,20.8,2,1,23.31
1,1,female,35.4,2,0,79.23
0,3,male,30,0,0,29.86
1,3,female,21,0,0,21.14
0,3,male,36.3,0,0,11
0,3,male,54.1,1,0,17.68
0,3,male,27.1,0,0,13.82
1,1,female,39.4,0,0,69.07
1,3,female,12.2,0,0,7.14
1,3,female,16.8,1,0,11.24
0,3,male,36.1,1,0,7.82
1,2,female,49.7,0,0,59.26
1,1,male,34.5,1,0,51.56
1,2,male,25.5,0,0,70.84
1,2,female,29.7,1,2,25.23
0,3,male,12.8,0,0,14.98
0,3,male,37.9,0,0,12.83
1,2,male,41.6,2,0,12.77
0,3,male,23.6,0,0,9.71
0,3,male,23.4,1,2,6.04
1,1,male,33.3,0,0,88.4
1,1,male,23.8,0,2,63.49
0,1,male,28.8,0,0,122.83
0,2,female,58,0,0,14.98
0,1,male,26.4,0,0,36.69
1,1,female,24.9,0,1,58.89
0,2,male,21,0,0,62.23
1,1,male,39.7,0,0,105.56
0,3,male,27.3,3,0,10.43
1,1,male,20.9,3,0,72.34
0,3,male,47.5,0,2,5.88
1,2,male,48.9,1,0,93.44
0,3,female,21.6,0,0,15.98
1,1,female,4.5,0,0,46.84
0,2,male,43.3,1,0,27.63
0,3,female,20.5,2,2,6.16
1,3,male,40.4,0,0,38.77
1,3,female,3.1,1,0,6.92
0,2,male,41.8,0,1,30.88
0,1,male,13.3,4,0,43.31
1,3,male,39.6,0,0,17.64
1,3,female,29.9,0,0,20
0,3,male,16.8,0,0,16.19
0,3,male,24.2,1,0,14.53
0,2,male,39,0,2,54.6
0,3,male,31.1,2,0,5.82
1,1,male,37.6,0,0,51.12
1,2,female,56.4,0,2,15.71
1,2,male,8.6,0,0,98.48
0,3,male,51.5,0,0,9.93
1,2,female,31.1,0,0,36.38
1,1,male,17.6,0,2,100.03
1,3,female,11.7,0,0,7.38
1,2,female,27.1,0,1,15.46
1,3,female,42.1,0,1,8.3
0,1,male,28,1,0,59.42
0,3,male,50.1,1,0,7.67
0,3,male,10.1,0,1,5.2
1,1,male,29.5,0,0,162.49
1,2,female,12.8,0,1,77.4
0,1,male,34.6,0,2,52.16
1,1,male,41.7,0,0,51.86
1,3,female,24,0,0,5.07
0,2,male,1,0,1,32.8
1,3,female,32.4,0,1,22.45
0,2,male,35.6,0,0,13.17
0,3,male,35.2,1,0,6.74
1,3,female,46.4,3,0,20.61
1,3,female,15.2,0,0,14.58
0,3,male,38.9,0,0,5.46
0,2,male,45.8,1,0,29.49
1,2,female,5.7,2,0,17.39
0,3,male,34,0,0,9.6
0,3,female,22.9,0,0,19.69
0,3,male,28.6,0,0,21.66
0,1,male,34.4,0,0,58.24
1,3,female,23.1,0,0,34.4
0,3,female,20.6,0,0,10.22
1,1,female,30.2,0,0,121.05
1,1,female,15,0,0,67.99
1,3,female,15,1,0,27.78
0,3,male,38.9,0,2,28.83
1,3,female,14.2,0,0,5.91
0,1,male,38.7,0,2,204.18
0,3,male,35.9,0,0,22.46
1,1,male,6.4,3,0,126.85
0,1,male,20.6,0,1,39.58
1,1,female,45.8,0,0,131.3
0,3,male,16.5,1,0,23.98
0,3,male,23.4,0,0,8.41
0,3,male,35.9,1,0,35.42
1,2,female,40.3,0,0,11.02
0,3,male,26.3,0,0,6.62
0,2,male,21.6,0,0,25.43
1,3,female,48.9,0,0,13.58
1,2,male,53.2,1,2,30.72
0,2,male,42.9,1,0,10.34
0,3,male,30.9,0,0,37.28
0,2,male,18.8,0,1,10.91
0,3,male,18.5,1,0,6.54
1,3,female,36.8,2,0,5.14
1,1,male,35.3,0,0,79.38
0,3,male,48.6,0,0,31.92
1,2,female,38.5,0,0,31.93
1,3,female,9.4,1,1,22.3
0,3,male,43.9,0,2,5.13
1,3,female,16.2,0,0,12.81
1,1,male,24.5,1,0,65
1,3,female,33.1,0,0,11.91
0,3,female,56.6,0,0,5.75
1,2,female,71.7,0,1,33.07
0,1,male,37.9,0,0,70.47
0,3,male,27.2,0,0,19.49
0,3,male,36.9,0,1,11.64
0,3,male,41.7,0,0,6.62
1,3,female,25.4,0,0,15.45
0,3,male,53.9,1,0,6.89
0,1,male,32.8,1,1,158.82
0,2,male,36.4,0,0,28.99
1,2,female,38.7,0,1,13.42
0,3,male,35.4,0,0,37.79
1,1,female,41,0,1,72.49
1,3,female,21.4,0,1,5.76
0,3,male,22.2,0,0,14.86
0,3,male,14.8,0,0,7.92
1,2,male,35.6,0,0,42.56
0,3,male,40.2,0,0,22.03
1,1,male,35.9,1,0,275.95
0,3,male,52.3,0,0,11.97
1,1,male,29.6,0,0,64.45
0,2,male,38.7,0,0,38.01
0,3,male,15,1,0,6.42
1,1,female,24.5,1,0,76.46
1,1,male,39.1,0,0,76.36
0,3,male,41.2,0,1,5.94
1,3,female,25.7,0,0,10.41
0,3,male,28.7,0,0,24.19
0,3,female,9.2,0,2,24.39
0,3,male,24.9,1,0,6.05
0,2,male,41.7,0,2,11.9
0,2,male,37.5,1,0,16.1
1,1,male,36.5,0,0,160.04
0,3,male,30.4,0,0,6.38
