customer_id,recency_days,frequency,monetary
CUST00123,50,2,53869.21
CUST00124,459,3,8307.2
CUST00125,68,16,31215.93
CUST00126,44,7,16881.69
CUST00127,50,11,16282.98
CUST00128,13,20,47585.58
CUST00129,4,13,19969.38
CUST00130,46,11,19644.42
CUST00131,89,4,68654.31
CUST00132,458,1,713.96
CUST00133,224,4,9140.09
CUST00134,17,10,23380.2
CUST00135,675,1,3113.73
CUST00136,2,28,62405.14
CUST00137,259,1,3371.37
CUST00138,235,4,15853.11
CUST00139,60,11,15797.41
CUST00140,224,6,12480.6
CUST00141,52,11,22736.63
CUST00142,145,2,17319.57
CUST00143,28,23,34298.5
CUST00144,58,12,21295.24
CUST00145,36,7,1938.81
CUST00146,247,5,18741.56
CUST00147,726,2,3198.07
CUST00148,7,25,51546.85
CUST00149,523,1,5269.46
CUST00150,52,8,20069.69
CUST00151,436,1,6302.98
CUST00152,58,3,29799.66
CUST00153,30,16,42936.0
CUST00154,1,10,40884.89
CUST00155,28,16,42706.5
CUST00156,422,3,6283.91
CUST00157,125,7,25200.94
CUST00158,61,4,11749.45
CUST00159,56,9,24663.19
CUST00160,515,1,689.02
CUST00161,298,1,4791.07
CUST00162,160,4,21059.64
CUST00163,302,2,8837.66
CUST00164,26,15,52995.72
CUST00165,282,6,16575.13
CUST00166,67,1,83514.2
CUST00167,631,1,200.0
CUST00168,35,7,20378.34
CUST00169,6,15,47035.74
CUST00170,502,5,1856.6
CUST00171,84,2,97965.36
CUST00172,511,2,3511.0
CUST00173,26,10,25423.66
CUST00174,69,5,21174.81
CUST00175,294,1,7054.01
CUST00176,141,10,19371.27
CUST00177,20,21,44369.57
CUST00178,7,22,56927.94
CUST00179,1,10,50865.28
CUST00180,592,3,3785.66
CUST00181,100,1,68015.58
CUST00182,15,10,17079.29
CUST00183,529,1,3448.51
CUST00184,223,5,15677.93
CUST00185,21,2,68467.64
CUST00186,509,2,4350.63
CUST00187,702,4,4215.74
CUST00188,56,5,42489.2
CUST00189,281,9,15865.2
CUST00190,441,2,8807.68
CUST00191,31,13,20283.73
CUST00192,4,20,63844.74
CUST00193,338,1,4988.32
CUST00194,15,8,24518.32
CUST00195,120,9,15978.88
CUST00196,623,1,3112.09
CUST00197,596,3,7517.65
CUST00198,630,4,3238.86
CUST00199,60,7,29499.39
CUST00200,438,3,3395.95
CUST00201,141,5,12545.25
CUST00202,315,1,7004.04
CUST00203,425,5,5936.25
CUST00204,313,3,3051.81
CUST00205,415,3,6696.21
CUST00206,85,1,64458.52
CUST00207,681,1,227.1
CUST00208,50,4,55834.58
CUST00209,384,3,5365.71
CUST00210,7,21,53949.76
CUST00211,485,3,5410.76
CUST00212,330,2,11212.02
CUST00213,56,9,30615.63
CUST00214,246,10,22489.89
CUST00215,543,1,3836.19
CUST00216,33,25,27607.07
CUST00217,295,4,15614.91
CUST00218,25,21,79340.31
CUST00219,266,6,22290.26
CUST00220,17,6,16956.87
CUST00221,712,2,3950.12
CUST00222,470,4,4593.32
CUST00223,162,7,18263.45
CUST00224,277,2,14615.13
CUST00225,26,5,26373.52
CUST00226,33,16,25661.09
CUST00227,247,7,24602.25
CUST00228,57,9,31021.84
CUST00229,542,5,781.1
CUST00230,9,24,75986.12
CUST00231,40,12,29467.87
CUST00232,58,6,12334.92
CUST00233,384,1,4290.53
CUST00234,231,2,17472.74
CUST00235,120,5,13544.76
CUST00236,317,4,3728.0
CUST00237,520,1,7470.84
CUST00238,16,5,51063.97
CUST00239,185,8,15663.0
CUST00240,15,21,44658.75
CUST00241,24,22,57580.06
CUST00242,17,20,84003.36
CUST00243,75,2,58509.28
CUST00244,427,3,2643.07
CUST00245,98,5,65011.08
CUST00246,209,3,10831.5
CUST00247,499,3,4645.83
CUST00248,22,12,37382.73
CUST00249,8,19,43311.36
CUST00250,703,1,3669.8
CUST00251,637,1,2524.31
CUST00252,298,4,25027.2
CUST00253,151,9,16680.06
CUST00254,378,4,2361.48
CUST00255,489,1,4634.33
CUST00256,223,1,12986.53
CUST00257,35,8,16182.59
CUST00258,25,1,60051.2
CUST00259,151,5,19231.59
CUST00260,718,1,3120.76
CUST00261,266,11,25352.68
CUST00262,576,1,5654.01
CUST00263,63,7,27672.53
CUST00264,479,2,2364.2
CUST00265,168,7,16192.7
CUST00266,89,8,103858.45
CUST00267,282,7,20875.97
CUST00268,134,9,24881.79
CUST00269,255,6,9533.32
CUST00270,614,2,6763.56
CUST00271,272,4,19283.4
CUST00272,98,4,34324.39
CUST00273,347,1,5211.9
CUST00274,88,4,64070.75
CUST00275,61,4,24108.92
CUST00276,13,21,54074.68
CUST00277,284,8,15661.34
CUST00278,42,4,24793.31
CUST00279,21,15,36769.39
CUST00280,484,4,4579.58
CUST00281,51,8,17138.04
CUST00282,29,10,15901.67
CUST00283,294,4,19862.77
CUST00284,47,3,70480.81
CUST00285,40,16,24437.03
CUST00286,62,13,20503.41
CUST00287,580,2,3236.73
CUST00288,308,2,6250.36
CUST00289,528,1,4277.15
CUST00290,255,1,5018.17
CUST00291,458,1,2494.96
CUST00292,51,9,26059.92
CUST00293,255,8,24302.23
CUST00294,151,6,32263.78
CUST00295,376,2,3583.04
CUST00296,44,6,26005.34
CUST00297,152,5,22055.71
CUST00298,48,6,22178.83
CUST00299,28,19,24952.76
CUST00300,460,1,7554.29
CUST00301,45,14,11555.2
CUST00302,80,5,82724.11
CUST00303,82,4,51242.42
CUST00304,437,2,3394.42
CUST00305,471,2,5992.03
CUST00306,278,2,6439.54
CUST00307,546,1,6362.3
CUST00308,148,6,16939.64
CUST00309,258,1,12517.84
CUST00310,641,6,5506.28
CUST00311,150,10,34940.14
CUST00312,679,1,4606.74
CUST00313,69,9,24271.12
CUST00314,25,16,41219.0
CUST00315,580,1,3964.74
CUST00316,268,8,20772.66
CUST00317,218,8,18977.15
CUST00318,54,14,21867.43
CUST00319,299,5,12177.14
CUST00320,383,1,1855.9
CUST00321,192,4,27015.72
CUST00322,377,3,10720.03
CUST00323,556,4,5314.25
CUST00324,66,8,17882.23
CUST00325,21,21,55453.24
CUST00326,65,12,15588.29
CUST00327,238,5,10863.18
CUST00328,133,11,21565.65
CUST00329,222,4,15228.95
CUST00330,537,1,6773.69
CUST00331,136,9,18208.21
CUST00332,30,13,39023.54
CUST00333,449,2,4713.87
CUST00334,48,10,28690.65
CUST00335,30,21,65037.26
CUST00336,18,10,16541.62
CUST00337,622,1,2889.13
CUST00338,33,9,26145.34
CUST00339,56,9,33392.57
CUST00340,134,8,21741.56
CUST00341,171,5,15594.82
CUST00342,145,2,21196.81
CUST00343,16,11,25902.66
CUST00344,96,1,47891.17
CUST00345,53,14,22407.77
CUST00346,230,6,2105.9
CUST00347,52,12,23528.22
CUST00348,60,8,33348.86
CUST00349,569,3,2337.41
CUST00350,50,10,20751.76
CUST00351,35,4,83776.63
CUST00352,275,4,16236.26
CUST00353,33,6,20788.9
CUST00354,53,12,18017.03
CUST00355,13,21,43922.82
CUST00356,41,7,16696.56
CUST00357,67,9,36955.27
CUST00358,270,3,21759.78
CUST00359,217,7,19277.19
CUST00360,609,3,2277.67
CUST00361,374,2,4228.59
CUST00362,129,2,10714.74
CUST00363,39,2,74156.5
CUST00364,137,5,8801.15
CUST00365,468,2,720.82
CUST00366,16,11,24642.73
CUST00367,30,20,64229.46
CUST00368,62,7,29435.06
CUST00369,26,8,28802.9
CUST00370,165,6,12242.36
CUST00371,716,2,3129.64
CUST00372,232,7,13351.55
CUST00373,78,3,36670.7
CUST00374,398,1,5715.05
CUST00375,442,3,2871.78
CUST00376,275,6,13139.94
CUST00377,15,21,38511.18
CUST00378,713,1,7550.01
CUST00379,40,9,17355.24
CUST00380,345,2,6336.56
CUST00381,245,4,22832.15
CUST00382,66,4,55910.78
CUST00383,147,4,10581.68
CUST00384,247,4,17089.1
CUST00385,556,2,1235.71
CUST00386,49,9,18151.78
CUST00387,364,2,2961.54
CUST00388,2,17,37943.91
CUST00389,18,6,36466.33
CUST00390,27,1,64935.09
CUST00391,305,1,1119.49
CUST00392,371,3,6287.68
CUST00393,157,6,9245.81
CUST00394,49,4,48397.42
CUST00395,323,1,6038.57
CUST00396,34,19,36391.91
CUST00397,302,5,6036.29
CUST00398,214,7,17498.0
CUST00399,33,22,35188.35
CUST00400,507,1,6945.26
CUST00401,17,5,29467.64
CUST00402,192,8,13749.44
CUST00403,569,1,4834.54
CUST00404,29,19,38618.02
CUST00405,29,11,17490.14
CUST00406,281,7,15698.6
CUST00407,68,4,22499.67
CUST00408,329,1,2291.57
CUST00409,21,24,43609.16
CUST00410,10,15,44727.59
CUST00411,247,3,18774.35
CUST00412,671,2,1414.87
CUST00413,190,6,19787.04
CUST00414,21,18,24333.25
CUST00415,63,11,8707.0
CUST00416,25,7,27197.34
CUST00417,364,2,3423.73
CUST00418,35,14,9527.71
CUST00419,51,10,22163.55
CUST00420,259,2,18422.14
CUST00421,515,1,2956.26
CUST00422,488,1,3641.31
CUST00423,468,2,3911.86
CUST00424,47,10,21185.02
CUST00425,16,11,25825.42
CUST00426,16,6,35899.73
CUST00427,354,1,4369.68
CUST00428,151,6,17094.76
CUST00429,661,3,7746.18
CUST00430,124,7,20510.42
CUST00431,315,1,3934.06
CUST00432,17,15,35118.05
CUST00433,617,3,4152.47
CUST00434,375,5,6544.66
CUST00435,34,19,42768.71
CUST00436,44,6,33434.28
CUST00437,24,14,40443.11
CUST00438,717,1,2767.61
CUST00439,71,7,75117.32
CUST00440,692,1,5249.13
CUST00441,72,4,50883.72
CUST00442,18,7,23894.27
CUST00443,29,16,26957.64
CUST00444,274,4,15952.36
CUST00445,352,6,867.98
CUST00446,218,9,4734.7
CUST00447,43,8,25645.37
CUST00448,62,9,21818.48
CUST00449,102,1,74588.36
CUST00450,32,18,49480.1
CUST00451,46,11,24871.27
CUST00452,281,11,8462.44
CUST00453,10,10,64957.32
CUST00454,150,5,19834.07
CUST00455,58,12,27590.66
CUST00456,422,3,1529.54
CUST00457,16,11,16126.36
CUST00458,11,5,31075.7
CUST00459,38,5,17633.98
CUST00460,31,16,35128.62
CUST00461,65,7,22758.84
CUST00462,52,11,22150.42
CUST00463,677,2,824.33
CUST00464,64,8,31679.57
CUST00465,392,1,4524.95
CUST00466,612,1,4331.47
CUST00467,68,7,22645.46
CUST00468,51,10,18188.47
CUST00469,273,7,11501.03
CUST00470,293,4,21992.43
CUST00471,21,4,23164.06
CUST00472,221,6,28380.72
CUST00473,165,6,21521.76
CUST00474,4,20,73837.47
CUST00475,7,16,46440.03
CUST00476,6,20,35539.16
CUST00477,23,16,27031.21
CUST00478,593,2,1026.82
CUST00479,25,14,27354.03
CUST00480,2,22,31630.52
CUST00481,40,6,13258.56
CUST00482,61,5,30270.13
CUST00483,68,17,20910.09
CUST00484,55,6,66724.76
CUST00485,22,3,13551.55
CUST00486,168,5,15100.42
CUST00487,507,2,2312.19
CUST00488,227,4,14415.72
CUST00489,29,14,8636.5
CUST00490,644,1,6117.96
CUST00491,235,5,14514.14
CUST00492,19,20,61703.75
CUST00493,7,15,71934.27
CUST00494,34,25,48885.12
CUST00495,268,1,5213.83
CUST00496,413,1,6602.82
CUST00497,37,10,19218.7
CUST00498,92,3,45425.87
CUST00499,321,3,4732.47
CUST00500,57,2,80874.17
CUST00501,157,2,18840.78
CUST00502,31,12,41341.28
CUST00503,638,1,6865.03
CUST00504,596,1,1705.5
CUST00505,40,9,21967.55
CUST00506,47,2,75124.27
CUST00507,48,6,23956.55
CUST00508,284,7,25258.02
CUST00509,528,1,3198.97
CUST00510,403,2,6916.12
CUST00511,350,1,1969.36
CUST00512,524,1,6108.12
CUST00513,62,9,6905.47
CUST00514,283,9,27624.44
CUST00515,332,3,4387.23
CUST00516,723,1,4277.61
CUST00517,283,1,7282.74
CUST00518,28,19,60821.66
CUST00519,46,6,26860.3
CUST00520,95,7,73396.63
CUST00521,28,7,64504.75
CUST00522,59,6,65344.55
CUST00523,129,10,18710.46
CUST00524,144,8,16449.41
CUST00525,23,6,26850.68
CUST00526,697,5,2933.93
CUST00527,30,12,46977.4
CUST00528,321,2,6137.89
CUST00529,22,19,24441.41
CUST00530,20,14,57756.92
CUST00531,58,8,7939.58
CUST00532,229,4,15286.47
CUST00533,431,2,3032.97
CUST00534,637,2,7853.3
CUST00535,270,5,27677.42
CUST00536,22,14,35485.58
CUST00537,51,4,26985.24
CUST00538,588,1,2841.67
CUST00539,24,7,24829.31
CUST00540,53,13,21454.76
CUST00541,337,2,4940.64
CUST00542,461,2,1731.08
CUST00543,299,1,32061.11
CUST00544,32,10,20349.73
CUST00545,49,5,32175.74
CUST00546,300,5,464.6
CUST00547,462,2,3292.05
CUST00548,660,1,5752.92
CUST00549,176,4,20114.28
CUST00550,55,7,16875.05
CUST00551,45,2,53305.53
CUST00552,96,5,66338.83
CUST00553,245,4,13690.0
CUST00554,715,1,6484.33
CUST00555,298,5,19903.98
CUST00556,203,6,24181.82
CUST00557,144,9,9595.53
CUST00558,284,1,3950.54
CUST00559,24,9,25297.55
CUST00560,2,22,68864.32
CUST00561,11,18,44640.56
CUST00562,526,2,4918.49
CUST00563,58,9,15822.75
CUST00564,489,2,6898.46
CUST00565,24,9,16340.37
CUST00566,28,12,18488.69
CUST00567,33,9,14529.23
CUST00568,644,1,5414.3
CUST00569,163,6,22416.14
CUST00570,23,6,29329.92
CUST00571,47,13,30455.92
CUST00572,136,9,9676.55
CUST00573,595,2,2697.89
CUST00574,232,5,17842.28
CUST00575,669,1,5609.68
CUST00576,612,2,5529.77
CUST00577,592,1,4774.89
CUST00578,52,5,70350.09
CUST00579,696,2,5347.85
CUST00580,127,8,22572.13
CUST00581,259,5,23586.98
CUST00582,45,4,55108.58
CUST00583,35,4,79287.23
CUST00584,33,23,67532.72
CUST00585,467,2,3726.3
CUST00586,31,21,26686.01
CUST00587,673,1,5768.3
CUST00588,63,9,16658.23
CUST00589,696,3,4022.97
CUST00590,292,2,8007.76
CUST00591,35,7,58688.24
CUST00592,29,13,19269.22
CUST00593,648,4,5000.14
CUST00594,52,7,20425.04
CUST00595,17,13,18429.6
CUST00596,272,3,200.0
CUST00597,56,6,28547.9
CUST00598,645,2,7167.14
CUST00599,25,9,15331.67
CUST00600,466,4,3841.87
CUST00601,231,4,14348.4
CUST00602,434,2,3699.7
CUST00603,403,2,4146.57
CUST00604,33,12,26014.95
CUST00605,31,5,29916.45
CUST00606,266,1,5356.45
CUST00607,24,3,54665.92
CUST00608,9,15,56843.17
CUST00609,13,17,64967.21
CUST00610,612,1,5987.09
CUST00611,62,12,21122.21
CUST00612,707,1,4132.87
CUST00613,59,5,17303.52
CUST00614,13,8,15773.91
CUST00615,32,12,22960.81
CUST00616,93,10,92524.55
CUST00617,487,4,6490.82
CUST00618,80,4,81260.06
CUST00619,238,6,27564.99
CUST00620,16,14,33479.12
CUST00621,724,4,1732.13
CUST00622,23,11,40979.82
CUST00623,154,12,26219.05
CUST00624,49,7,19482.19
CUST00625,16,6,19627.99
CUST00626,82,1,77494.93
CUST00627,661,1,6578.57
CUST00628,669,1,3390.18
CUST00629,204,10,24925.76
CUST00630,204,7,26652.71
CUST00631,42,5,54480.5
CUST00632,64,5,49753.42
CUST00633,25,20,45282.48
CUST00634,17,23,49115.07
CUST00635,234,11,11422.22
CUST00636,475,1,2399.45
CUST00637,31,3,90225.49
CUST00638,3,18,28978.28
CUST00639,120,3,23633.22
CUST00640,39,8,24783.4
CUST00641,266,4,14879.94
CUST00642,2,16,34597.45
CUST00643,37,13,200.0
CUST00644,109,4,74005.0
CUST00645,230,6,20662.35
CUST00646,45,6,16984.03
CUST00647,28,27,49287.47
CUST00648,270,1,5502.56
CUST00649,258,7,17541.95
CUST00650,17,5,22147.62
CUST00651,528,1,4415.72
CUST00652,27,10,20522.6
CUST00653,80,8,48008.83
CUST00654,299,7,29561.24
CUST00655,443,1,2610.6
CUST00656,43,6,24074.65
CUST00657,25,8,20106.32
CUST00658,387,4,1468.51
CUST00659,135,6,25429.95
CUST00660,19,15,48532.26
CUST00661,134,5,14761.21
CUST00662,61,7,31516.63
CUST00663,387,3,3822.76
CUST00664,16,8,8717.15
CUST00665,308,2,7310.1
CUST00666,28,19,61379.5
CUST00667,485,1,4207.81
CUST00668,452,1,6144.83
CUST00669,273,3,16549.03
CUST00670,14,10,79927.79
CUST00671,501,3,4237.32
CUST00672,59,8,28058.15
CUST00673,19,15,26855.01
CUST00674,145,9,19039.72
CUST00675,33,19,51777.73
CUST00676,46,1,79772.54
CUST00677,265,2,3786.88
CUST00678,176,9,22985.04
CUST00679,23,19,60855.86
CUST00680,58,7,14772.93
CUST00681,70,3,64411.75
CUST00682,32,9,28175.06
CUST00683,67,7,25051.97
CUST00684,76,3,53787.61
CUST00685,359,1,3386.93
CUST00686,526,2,3232.88
CUST00687,483,2,3451.48
CUST00688,98,5,67912.05
CUST00689,591,1,4043.21
CUST00690,34,12,49461.44
CUST00691,23,21,66505.45
CUST00692,156,8,19391.11
CUST00693,20,11,19135.68
CUST00694,356,5,505.46
CUST00695,66,10,26972.31
CUST00696,352,3,6610.3
CUST00697,36,2,35328.3
CUST00698,29,4,44010.53
CUST00699,8,17,25963.54
CUST00700,286,2,6173.0
CUST00701,23,9,14802.21
CUST00702,339,4,5672.34
CUST00703,192,6,10287.69
CUST00704,47,15,26431.98
CUST00705,59,4,56596.48
CUST00706,635,4,4229.72
CUST00707,44,7,30977.85
CUST00708,35,11,22250.14
CUST00709,349,3,2514.5
CUST00710,72,9,55163.17
CUST00711,484,3,1856.97
CUST00712,92,5,37087.1
CUST00713,295,1,1973.03
CUST00714,198,6,16612.91
CUST00715,267,9,21342.38
CUST00716,77,7,32125.85
CUST00717,324,4,6395.43
CUST00718,68,11,26459.05
CUST00719,290,5,15653.7
CUST00720,610,2,3029.68
CUST00721,698,3,2266.4
CUST00722,74,5,40773.23
CUST00723,30,16,18923.21
CUST00724,728,1,4524.3
CUST00725,58,4,54995.99
CUST00726,13,5,22851.58
CUST00727,193,4,13117.51
CUST00728,276,3,1518.65
CUST00729,59,6,17534.71
CUST00730,31,22,53738.14
CUST00731,41,17,20727.79
CUST00732,14,7,25457.41
CUST00733,10,5,14328.56
CUST00734,184,7,7567.6
CUST00735,27,6,19606.73
CUST00736,422,1,3805.15
CUST00737,49,8,22587.26
CUST00738,42,13,19059.65
CUST00739,4,16,42816.94
CUST00740,37,12,15884.33
CUST00741,16,11,22649.63
CUST00742,631,1,3162.26
CUST00743,17,19,42870.21
CUST00744,26,5,24807.44
CUST00745,88,1,57382.06
CUST00746,40,7,44816.48
CUST00747,18,22,63559.59
CUST00748,213,5,18344.65
CUST00749,251,2,4549.8
CUST00750,62,2,20706.48
CUST00751,17,17,45204.83
CUST00752,379,1,5387.09
CUST00753,30,16,16455.3
CUST00754,287,1,1564.97
CUST00755,69,8,26501.78
CUST00756,10,6,28833.1
CUST00757,471,3,2499.45
CUST00758,1,20,38681.25
CUST00759,26,3,56385.58
CUST00760,19,10,23645.25
CUST00761,65,4,89229.71
CUST00762,92,6,93732.64
CUST00763,172,2,21470.36
CUST00764,266,12,9785.47
CUST00765,42,10,19508.85
CUST00766,57,5,56437.99
CUST00767,20,12,32457.92
CUST00768,389,1,3529.8
CUST00769,69,13,27488.82
CUST00770,10,10,23485.32
CUST00771,211,11,19531.11
CUST00772,125,6,8464.96
CUST00773,53,11,26074.73
CUST00774,293,12,19574.08
CUST00775,293,5,23609.07
CUST00776,25,7,6169.84
CUST00777,36,7,20962.39
CUST00778,34,23,50975.82
CUST00779,4,21,40591.8
CUST00780,181,3,18970.16
CUST00781,19,7,25307.75
CUST00782,594,1,3735.88
CUST00783,92,6,28028.98
CUST00784,463,1,3772.23
CUST00785,209,4,12575.56
CUST00786,397,2,2352.73
CUST00787,34,20,57398.66
CUST00788,510,5,2097.36
CUST00789,169,8,24068.86
CUST00790,420,2,6040.77
CUST00791,576,1,5179.0
CUST00792,143,8,30018.81
CUST00793,172,8,8942.48
CUST00794,280,1,3002.08
CUST00795,707,2,3939.26
CUST00796,10,12,43217.96
CUST00797,267,2,17716.42
CUST00798,29,23,52368.0
CUST00799,18,17,46467.12
CUST00800,59,5,85570.19
CUST00801,157,4,12013.9
CUST00802,524,1,6236.58
CUST00803,485,2,3652.8
CUST00804,20,13,25664.57
CUST00805,76,4,58748.42
CUST00806,17,5,17536.45
CUST00807,64,8,22737.52
CUST00808,40,5,27042.21
CUST00809,461,2,6647.93
CUST00810,59,10,27689.97
CUST00811,22,8,30793.76
CUST00812,373,2,7351.18
CUST00813,57,5,23608.02
CUST00814,26,25,47461.0
CUST00815,104,4,72942.42
CUST00816,30,13,26749.22
CUST00817,60,2,81394.2
CUST00818,30,17,35236.69
CUST00819,494,2,1520.41
CUST00820,3,26,59178.13
CUST00821,10,8,22869.04
CUST00822,15,9,19947.49
CUST00823,27,23,27885.79
CUST00824,581,2,469.68
CUST00825,425,2,7165.23
CUST00826,637,1,1336.21
CUST00827,47,15,32162.11
CUST00828,25,12,20816.55
CUST00829,388,2,5975.15
CUST00830,18,7,16018.95
CUST00831,157,5,20451.16
CUST00832,56,2,65466.7
CUST00833,669,1,3904.36
CUST00834,600,3,3321.23
CUST00835,32,14,26584.65
CUST00836,42,7,16298.44
CUST00837,67,14,20442.0
CUST00838,65,6,26323.95
CUST00839,701,3,2069.0
CUST00840,207,5,28389.48
CUST00841,76,2,54370.47
CUST00842,45,8,20004.88
CUST00843,285,5,13781.72
CUST00844,289,6,16259.41
CUST00845,264,1,5035.34
CUST00846,634,3,4310.57
CUST00847,13,23,46827.05
CUST00848,42,9,22144.57
CUST00849,404,3,6509.35
CUST00850,81,4,66820.22
CUST00851,63,8,11412.46
CUST00852,67,8,20446.06
CUST00853,103,4,76729.2
CUST00854,5,10,20316.78
CUST00855,343,3,2995.87
CUST00856,220,6,16253.12
CUST00857,226,7,4880.85
CUST00858,54,10,15863.56
CUST00859,536,1,2939.69
CUST00860,704,2,1188.33
CUST00861,375,2,3297.76
CUST00862,197,5,24106.75
CUST00863,543,3,4402.16
CUST00864,64,5,31092.45
CUST00865,36,2,88181.93
CUST00866,268,11,16040.35
CUST00867,49,6,35447.09
CUST00868,126,5,23152.1
CUST00869,64,5,22568.05
CUST00870,332,1,5354.16
CUST00871,41,5,5489.29
CUST00872,592,1,5663.91
CUST00873,639,2,903.69
CUST00874,65,10,13605.24
CUST00875,58,9,15881.22
CUST00876,427,2,3116.53
CUST00877,93,1,45163.36
CUST00878,16,12,41496.89
CUST00879,6,14,49707.36
CUST00880,221,9,13102.64
CUST00881,509,1,3179.48
CUST00882,643,2,3973.66
CUST00883,236,8,7097.54
CUST00884,10,8,25772.33
CUST00885,30,26,19618.35
CUST00886,549,3,3042.38
CUST00887,266,3,4632.4
CUST00888,43,7,20562.36
CUST00889,96,3,87658.23
CUST00890,107,2,59224.63
CUST00891,281,3,3973.78
CUST00892,25,8,21431.01
CUST00893,171,5,18596.61
CUST00894,80,7,60077.0
CUST00895,13,17,70877.61
CUST00896,53,3,85284.11
CUST00897,231,7,29673.6
CUST00898,54,7,27818.45
CUST00899,284,1,2037.44
CUST00900,140,4,21626.93
CUST00901,1,28,31926.61
CUST00902,33,8,27692.51
CUST00903,151,2,10928.89
CUST00904,67,4,32521.04
CUST00905,53,6,19306.88
CUST00906,233,7,18980.56
CUST00907,650,2,1568.93
CUST00908,22,7,82612.04
CUST00909,227,9,9194.39
CUST00910,273,3,20633.81
CUST00911,68,4,18675.28
CUST00912,53,8,17792.37
CUST00913,22,19,45695.1
CUST00914,53,9,22668.4
CUST00915,493,1,3719.94
CUST00916,528,1,7505.4
CUST00917,258,4,3731.7
CUST00918,308,2,677.66
CUST00919,24,14,24983.45
CUST00920,40,7,6723.1
CUST00921,157,8,18977.06
CUST00922,34,13,16515.55
CUST00923,290,5,20594.79
CUST00924,73,3,2678.09
CUST00925,499,2,5520.97
CUST00926,700,4,6464.55
CUST00927,25,10,21592.61
CUST00928,59,21,22464.47
CUST00929,10,9,28726.88
CUST00930,259,5,19029.93
CUST00931,126,7,16443.77
CUST00932,34,2,16767.85
