customer_id,tenure_months,age,monthly_charges,total_charges,contract_type,payment_method,region,signup_date,churn
CUST00172,44,48,87.95,3948.7,Month-to-month,Mailed check,West,2023-11-26,0
CUST00173,28,55,87.62,2389.93,Month-to-month,Bank transfer,West,2023-11-09,1
CUST00174,37,18,102.82,3621.59,Two year,Mailed check,Central,2022-09-14,0
CUST00175,16,40,23.29,411.83,Month-to-month,Mailed check,West,2023-08-09,0
CUST00176,1,47,42.32,44.58,Month-to-month,Mailed check,North,2023-12-31,1
CUST00177,14,45,85.58,1218.82,Month-to-month,Mailed check,Central,2022-09-28,1
CUST00178,1,55,18.0,17.65,Two year,Bank transfer,South,2023-04-21,0
CUST00179,46,36,77.3,3500.54,Two year,Mailed check,North,2022-10-09,0
CUST00180,1,42,91.5,98.56,One year,Mailed check,East,2022-07-28,0
CUST00181,9,58,50.59,462.29,Two year,Bank transfer,Central,2022-01-02,0
CUST00182,43,18,54.25,1973.18,Two year,Mailed check,South,2022-12-19,0
CUST00183,36,50,38.15,1539.65,Month-to-month,Electronic check,East,2021-10-20,0
CUST00184,41,37,51.96,2149.86,Month-to-month,Credit card,North,2021-08-01,0
CUST00185,23,29,52.69,1232.68,One year,Electronic check,North,2021-10-29,0
CUST00186,5,46,47.93,252.67,One year,Bank transfer,North,2021-01-13,0
CUST00187,36,59,46.56,1715.16,Month-to-month,Mailed check,West,2023-10-20,0
CUST00188,47,56,58.22,2838.53,Month-to-month,Electronic check,Central,2021-10-09,1
CUST00189,47,40,57.92,2664.57,One year,Electronic check,North,2023-05-26,0
CUST00190,38,54,111.85,3988.95,Month-to-month,Credit card,South,2022-04-22,1
CUST00191,25,54,55.15,1398.07,Two year,Mailed check,North,2022-01-07,0
CUST00192,54,40,73.6,4258.89,Month-to-month,Mailed check,North,2021-09-07,1
CUST00193,38,32,50.58,1859.78,Month-to-month,Bank transfer,East,2023-06-18,0
CUST00194,1,33,50.26,48.43,Two year,Electronic check,West,2022-07-17,0
CUST00195,8,53,22.39,190.06,Month-to-month,Bank transfer,East,2022-05-08,1
CUST00196,10,41,25.72,251.32,Month-to-month,Mailed check,South,2022-12-22,1
CUST00197,47,27,34.83,1603.41,One year,Bank transfer,East,2023-05-29,0
CUST00198,19,18,69.59,1297.54,Two year,Electronic check,North,2022-12-20,0
CUST00199,1,53,91.9,91.6,Month-to-month,Credit card,North,2022-05-28,0
CUST00200,2,34,20.33,37.46,Month-to-month,Electronic check,Central,2023-09-06,1
CUST00201,8,46,51.27,399.1,One year,Bank transfer,West,2023-09-08,0
CUST00202,5,59,30.83,155.93,Two year,Bank transfer,Central,2023-11-25,0
CUST00203,4,23,58.39,236.17,Month-to-month,Mailed check,Central,2021-04-10,0
CUST00204,7,41,91.89,680.47,Month-to-month,Electronic check,East,2023-09-03,0
CUST00205,25,39,53.83,1469.52,Month-to-month,Mailed check,Central,2021-07-31,0
CUST00206,29,47,63.81,1990.43,Month-to-month,Credit card,South,2022-11-11,0
CUST00207,62,59,101.38,6573.02,Month-to-month,Credit card,North,2022-12-22,0
CUST00208,19,23,76.45,1441.75,One year,Credit card,North,2021-08-14,0
CUST00209,9,49,46.0,401.1,Month-to-month,Electronic check,North,2021-01-09,0
CUST00210,12,56,68.97,828.38,Month-to-month,Bank transfer,North,2023-10-31,1
CUST00211,1,39,44.31,45.61,One year,Electronic check,South,2023-09-03,1
CUST00212,9,40,75.51,707.52,One year,Bank transfer,West,2021-07-11,0
CUST00213,5,47,77.88,401.53,Month-to-month,Mailed check,West,2022-10-21,0
CUST00214,3,46,30.82,91.9,Two year,Bank transfer,East,2021-06-15,0
CUST00215,11,50,69.38,793.21,One year,Bank transfer,North,2022-09-13,0
CUST00216,3,49,62.06,197.92,One year,Credit card,West,2021-12-14,0
CUST00217,1,28,78.62,82.08,Month-to-month,Mailed check,South,2023-04-04,1
CUST00218,22,55,85.78,1884.14,Month-to-month,Mailed check,North,2022-09-21,0
CUST00219,34,58,76.94,2506.89,Two year,Bank transfer,South,2022-06-30,0
CUST00220,13,44,57.42,714.45,Month-to-month,Electronic check,South,2023-01-17,1
CUST00221,1,21,88.33,85.32,Month-to-month,Electronic check,South,2022-06-05,0
CUST00222,10,40,43.17,437.25,Month-to-month,Bank transfer,West,2021-01-15,0
CUST00223,1,44,31.99,32.82,One year,Credit card,West,2022-10-15,0
CUST00224,25,25,18.0,418.17,Two year,Bank transfer,West,2023-05-02,0
CUST00225,47,36,63.25,2897.84,Month-to-month,Credit card,North,2022-06-21,0
CUST00226,19,22,44.46,855.02,Two year,Electronic check,West,2021-07-11,0
CUST00227,6,50,74.94,429.41,Month-to-month,Mailed check,West,2021-01-09,1
CUST00228,61,44,18.0,1121.82,One year,Bank transfer,North,2021-11-21,0
CUST00229,25,18,48.82,1201.74,One year,Mailed check,East,2023-04-22,0
CUST00230,1,46,76.76,73.98,Month-to-month,Electronic check,East,2021-12-19,0
CUST00231,5,41,39.25,196.77,Month-to-month,Electronic check,South,2023-11-13,1
CUST00232,30,49,75.23,2301.17,Month-to-month,Credit card,North,2021-12-31,0
CUST00233,5,36,51.07,244.52,Two year,Bank transfer,East,2022-04-14,0
CUST00234,16,30,64.18,1014.42,One year,Mailed check,North,2023-04-13,0
CUST00235,11,31,79.88,899.23,Two year,Mailed check,North,2022-11-04,0
CUST00236,8,34,88.82,683.48,Two year,Electronic check,North,2021-02-14,0
CUST00237,2,42,67.31,123.46,Month-to-month,Credit card,Central,2021-03-25,0
CUST00238,27,44,44.65,1112.93,One year,Electronic check,South,2021-08-04,0
CUST00239,22,39,53.55,1153.47,Month-to-month,Credit card,South,2023-08-13,1
CUST00240,48,36,80.92,3628.11,Month-to-month,Electronic check,South,2021-01-25,0
CUST00241,6,37,39.47,232.7,Two year,Mailed check,Central,2021-03-20,0
CUST00242,1,77,60.55,65.59,One year,Mailed check,East,2023-05-03,0
CUST00243,54,31,55.35,2782.88,Month-to-month,Credit card,Central,2022-11-14,0
CUST00244,21,34,62.42,1292.3,Month-to-month,Electronic check,South,2023-12-14,0
CUST00245,1,85,39.77,44.01,One year,Mailed check,North,2021-08-29,0
CUST00246,72,47,18.7,1373.88,Two year,Mailed check,East,2022-12-24,0
CUST00247,50,22,78.02,3829.28,One year,Mailed check,South,2021-05-28,0
CUST00248,10,53,89.1,884.01,Month-to-month,Electronic check,West,2022-10-09,0
CUST00249,21,29,20.2,433.31,Month-to-month,Credit card,Central,2021-04-27,1
CUST00250,7,54,74.22,563.59,Month-to-month,Mailed check,East,2023-09-22,1
CUST00251,6,39,92.08,537.82,One year,Mailed check,Central,2022-04-01,0
CUST00252,12,35,79.9,922.48,Two year,Mailed check,East,2021-10-07,0
CUST00253,8,64,54.58,406.54,Month-to-month,Credit card,South,2023-12-15,0
CUST00254,9,49,41.41,374.61,Month-to-month,Mailed check,East,2021-03-14,0
CUST00255,1,55,67.02,62.31,Month-to-month,Mailed check,North,2023-05-26,1
CUST00256,72,48,71.19,5006.82,One year,Mailed check,West,2022-07-13,0
CUST00257,23,35,67.4,1479.77,Two year,Mailed check,North,2023-01-23,0
CUST00258,2,50,60.5,127.5,Month-to-month,Electronic check,South,2021-10-13,1
CUST00259,3,58,37.93,110.9,Month-to-month,Bank transfer,East,2023-08-24,1
CUST00260,31,43,75.57,2389.16,One year,Electronic check,North,2022-05-09,0
CUST00261,72,67,76.77,5084.11,Month-to-month,Electronic check,North,2022-04-04,0
CUST00262,16,53,70.02,1127.69,Two year,Electronic check,West,2022-05-15,1
CUST00263,5,44,67.77,318.47,Month-to-month,Mailed check,North,2021-11-21,0
CUST00264,72,45,106.98,7538.63,Month-to-month,Credit card,East,2021-12-16,0
CUST00265,24,43,49.39,1316.41,Two year,Bank transfer,South,2021-06-03,0
CUST00266,7,24,97.04,710.94,Month-to-month,Credit card,North,2022-06-17,1
CUST00267,18,40,46.65,834.31,Month-to-month,Mailed check,North,2022-06-04,0
CUST00268,17,45,92.72,1828.36,Month-to-month,Credit card,West,2022-02-21,0
CUST00269,29,36,95.83,2651.9,Month-to-month,Electronic check,Central,2023-12-16,1
CUST00270,22,46,57.67,1342.66,Month-to-month,Bank transfer,North,2021-05-04,0
CUST00271,65,42,106.52,6393.2,Month-to-month,Credit card,Central,2023-09-24,1
CUST00272,39,52,76.73,2955.97,Month-to-month,Bank transfer,East,2023-08-08,0
CUST00273,10,51,43.07,401.68,Month-to-month,Credit card,East,2021-01-25,0
CUST00274,61,44,55.65,3438.32,One year,Mailed check,West,2023-02-07,0
CUST00275,7,22,93.32,655.07,One year,Electronic check,West,2021-08-18,1
CUST00276,12,67,88.08,1040.7,Month-to-month,Credit card,West,2021-02-15,1
CUST00277,1,40,38.55,40.65,Month-to-month,Electronic check,East,2023-08-01,1
CUST00278,31,40,61.52,1853.04,Month-to-month,Credit card,East,2021-05-07,0
CUST00279,20,37,70.09,1424.71,Two year,Bank transfer,South,2021-11-24,0
CUST00280,32,35,52.31,1742.6,Two year,Credit card,North,2021-04-16,0
CUST00281,72,63,123.94,8261.89,Month-to-month,Mailed check,West,2021-06-05,0
CUST00282,11,61,70.84,750.08,Month-to-month,Credit card,North,2021-03-09,1
CUST00283,34,48,63.45,2163.11,Month-to-month,Electronic check,South,2023-07-12,1
CUST00284,25,40,94.77,2443.9,Month-to-month,Mailed check,North,2021-03-06,0
CUST00285,53,50,55.87,3171.53,One year,Electronic check,North,2023-04-12,0
CUST00286,69,43,90.19,6155.94,Month-to-month,Credit card,East,2021-06-22,0
CUST00287,51,39,23.31,1170.0,Month-to-month,Bank transfer,East,2023-09-29,0
CUST00288,15,46,53.66,,Month-to-month,Credit card,South,2023-07-18,0
CUST00289,5,35,91.23,463.68,Month-to-month,Credit card,North,2022-11-21,0
CUST00290,2,45,104.25,205.4,Month-to-month,Mailed check,South,2023-06-26,0
CUST00291,7,44,45.67,315.31,Two year,Electronic check,South,2021-11-23,0
CUST00292,12,50,42.75,510.59,Month-to-month,Credit card,West,2023-05-08,0
CUST00293,65,33,79.19,5289.32,Two year,Mailed check,East,2021-08-31,0
CUST00294,10,51,49.42,480.27,Month-to-month,Electronic check,East,2022-11-05,1
CUST00295,1,29,58.29,56.04,Two year,Credit card,East,2023-10-04,0
CUST00296,10,33,86.91,887.86,Two year,Credit card,Central,2023-03-04,0
CUST00297,11,34,51.4,479.86,Two year,Mailed check,West,2021-10-23,0
CUST00298,6,26,18.0,104.74,Two year,Credit card,East,2023-03-20,0
CUST00299,19,56,32.47,581.42,One year,Electronic check,East,2023-08-26,0
CUST00300,12,28,65.25,,One year,Electronic check,North,2023-09-01,0
CUST00301,1,32,18.41,18.0,One year,Mailed check,Central,2023-03-21,0
CUST00302,15,59,57.57,839.34,Month-to-month,Bank transfer,South,2023-03-13,0
CUST00303,35,34,30.2,1054.43,Month-to-month,Electronic check,South,2023-05-10,1
CUST00304,25,39,106.0,2571.11,Month-to-month,Electronic check,Central,2023-03-18,1
CUST00305,1,27,119.13,116.73,Two year,Bank transfer,West,2021-05-27,0
CUST00306,61,53,38.55,2362.97,Month-to-month,Credit card,North,2023-05-31,0
CUST00307,19,53,71.42,1328.34,Month-to-month,Bank transfer,North,2021-07-17,1
CUST00308,15,52,40.99,601.65,One year,Credit card,North,2022-09-02,0
CUST00309,6,49,57.27,326.26,Month-to-month,Credit card,East,2022-01-07,0
CUST00310,42,43,110.09,4357.04,Month-to-month,Bank transfer,North,2021-08-22,1
CUST00311,29,34,53.33,1551.26,Month-to-month,Bank transfer,Central,2021-11-05,0
CUST00312,1,30,57.85,58.74,Month-to-month,Credit card,Central,2021-04-03,0
CUST00313,2,60,41.44,76.96,Month-to-month,Mailed check,East,2022-04-27,0
CUST00314,1,52,93.65,97.21,Month-to-month,Electronic check,East,2022-04-04,1
CUST00315,18,32,18.0,336.38,Month-to-month,Credit card,South,2022-03-18,0
CUST00316,72,42,53.93,4072.19,Month-to-month,Mailed check,North,2021-04-11,0
CUST00317,61,37,63.85,3953.25,Month-to-month,Credit card,West,2022-10-27,1
CUST00318,21,26,48.47,1050.29,One year,Mailed check,North,2021-07-05,0
CUST00319,72,44,86.59,6915.6,Month-to-month,Credit card,North,2023-07-27,0
CUST00320,13,36,95.05,1217.02,Two year,Electronic check,South,2021-01-27,0
CUST00321,8,28,29.7,225.18,Two year,Bank transfer,North,2021-03-02,0
CUST00322,16,21,117.34,1733.43,Month-to-month,Mailed check,South,2021-11-25,0
CUST00323,6,20,29.42,192.02,Month-to-month,Mailed check,West,2022-03-23,0
CUST00324,8,36,97.22,846.54,Month-to-month,Mailed check,West,2023-11-29,1
CUST00325,17,40,68.75,1114.72,Two year,Credit card,East,2022-07-30,0
CUST00326,23,29,52.41,1161.59,One year,Mailed check,West,2022-02-19,0
CUST00327,42,51,54.77,,Two year,Credit card,South,2023-07-07,0
CUST00328,13,41,64.16,885.14,Month-to-month,Mailed check,West,2021-09-21,0
CUST00329,31,50,70.21,2036.42,One year,Electronic check,East,2023-09-10,0
CUST00330,1,39,42.0,37.87,Month-to-month,Credit card,North,2022-03-18,1
CUST00331,6,30,59.15,393.36,One year,Electronic check,Central,2021-12-09,0
CUST00332,4,43,45.73,185.78,Month-to-month,Mailed check,South,2021-11-26,0
CUST00333,22,24,34.62,778.94,One year,Credit card,North,2021-01-11,0
CUST00334,3,49,44.57,132.34,Two year,Credit card,North,2023-01-08,0
CUST00335,72,28,36.25,2670.78,Month-to-month,Credit card,South,2022-09-25,0
CUST00336,19,54,54.5,957.1,One year,Mailed check,South,2022-11-26,0
CUST00337,46,37,75.81,3340.63,Month-to-month,Credit card,East,2022-12-15,0
CUST00338,1,56,68.02,68.38,One year,Mailed check,Central,2021-01-30,0
CUST00339,23,26,114.36,2331.63,Month-to-month,Bank transfer,South,2023-08-20,0
CUST00340,35,32,18.0,620.47,Two year,Bank transfer,East,2022-07-14,0
