MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.1522,11.0,6.7471,1.1178,456.0,2.3394,37.22,-117.97,4.1564
2.3102,30.0,4.9471,0.9473,1802.0,2.8332,36.84,-121.15,2.1986
1.2761,21.0,5.5256,1.3928,302.0,3.5,37.19,-122.35,1.7669
4.5616,32.0,5.9118,1.3773,1050.0,3.687,35.96,-118.86,2.4887
3.0228,48.0,4.6085,0.8,2439.0,1.8434,37.01,-117.71,2.0043
3.7835,29.0,4.8891,1.1265,802.0,3.2542,34.5,-118.56,2.9049
3.2239,19.0,6.4255,1.2058,1691.0,2.3494,33.62,-123.02,2.5126
0.5,45.0,6.7084,1.1663,772.0,3.7274,34.51,-120.75,0.7608
1.6063,23.0,5.4809,1.3273,906.0,4.4884,41.72,-116.85,0.8355
1.5597,31.0,3.9658,1.2961,1972.0,1.0,41.91,-122.83,2.0003
5.3393,7.0,5.0453,1.1398,1718.0,2.4752,39.64,-115.47,2.2719
3.0969,26.0,3.6704,1.4416,2880.0,3.211,40.45,-119.63,1.3378
4.1555,22.0,5.4902,1.2405,799.0,2.9969,33.48,-116.39,2.5237
2.4069,7.0,5.7065,1.0473,1497.0,3.7517,33.67,-120.89,2.1905
4.2829,11.0,5.0751,1.0171,1235.0,3.0633,33.38,-120.71,2.9219
2.7259,36.0,5.6901,1.2865,1528.0,2.5762,33.1,-114.63,3.227
2.595,10.0,5.9003,0.9811,2312.0,2.1837,39.6,-118.63,1.4527
3.4119,7.0,5.7082,1.0385,688.0,2.0492,33.04,-123.28,2.9865
3.2237,3.0,3.9582,1.0641,1455.0,2.4058,41.52,-114.72,1.1012
11.7408,2.0,5.0961,1.1533,2666.0,2.5479,38.71,-120.55,5.0
1.5929,23.0,5.8918,1.071,1236.0,3.307,34.12,-117.2,1.405
0.9066,25.0,7.2945,0.9025,1962.0,2.8746,40.27,-123.01,1.2922
3.7313,32.0,5.0737,1.2743,176.0,2.4793,40.33,-115.75,2.7711
1.7653,30.0,6.061,1.0393,1278.0,2.1925,37.86,-114.71,1.2635
0.5,28.0,6.4538,1.403,837.0,2.4379,33.36,-120.47,1.2516
1.3285,51.0,5.164,1.1456,1699.0,2.5488,36.31,-122.85,1.3877
10.2519,13.0,6.7781,1.2901,1461.0,2.4015,37.71,-118.72,4.7976
1.5614,37.0,6.8426,1.1946,592.0,3.5385,39.57,-122.68,1.6474
0.6616,5.0,7.0565,1.2973,338.0,4.0944,35.34,-119.88,0.3918
9.8769,44.0,5.9501,1.1856,3816.0,2.0591,40.79,-118.07,4.5365
1.288,19.0,8.2322,1.1353,1546.0,3.8954,34.88,-122.91,1.9585
13.822,18.0,4.6617,1.264,1519.0,3.5546,41.98,-114.82,5.0
2.336,7.0,7.9489,1.4729,672.0,3.1439,33.59,-117.24,1.7981
8.1723,26.0,6.322,1.0595,928.0,4.2213,40.41,-120.69,3.6052
2.5554,21.0,7.0085,1.2192,2686.0,2.8638,33.76,-120.14,2.9904
4.0204,50.0,5.016,1.0992,1255.0,3.3215,39.71,-115.82,2.7885
2.7658,10.0,6.4134,1.1759,2748.0,3.099,40.69,-119.54,1.4811
2.5685,22.0,7.1124,1.1063,1550.0,3.0395,35.47,-114.43,1.9487
3.5374,46.0,4.0952,0.8,2357.0,3.3672,33.46,-123.68,2.8415
4.1125,42.0,5.204,1.07,161.0,3.0371,42.0,-121.59,2.4437
3.365,39.0,2.8305,1.2499,641.0,3.3729,41.72,-119.12,1.9871
3.1442,27.0,5.186,0.9852,1238.0,2.4641,39.69,-122.94,1.7352
1.7761,45.0,4.4208,1.2381,990.0,2.4891,36.17,-120.74,1.5125
2.8372,12.0,5.1387,1.1275,1707.0,2.4605,33.78,-119.1,2.2597
7.568,42.0,8.9084,1.0713,338.0,2.7082,36.47,-121.69,4.4385
1.7169,30.0,7.4614,1.2359,345.0,3.8106,39.34,-122.65,1.0752
3.604,18.0,3.6727,1.2022,1662.0,2.6302,33.95,-121.62,2.6654
6.2096,12.0,6.0669,1.1631,2289.0,3.522,32.66,-123.47,3.2768
4.1343,27.0,6.3587,1.2524,924.0,3.2124,41.09,-122.34,2.4347
5.374,1.0,4.9945,1.1305,2936.0,2.6469,39.15,-123.69,2.6627
1.2722,37.0,5.614,0.8533,3395.0,4.0473,39.09,-114.77,1.3308
3.6099,13.0,5.7312,1.0433,1147.0,3.5889,41.5,-122.69,2.0936
2.4702,20.0,3.7841,0.8293,899.0,3.0014,37.45,-124.29,1.7178
2.5431,10.0,4.1624,1.1986,743.0,2.9351,35.52,-114.73,1.1938
7.1884,24.0,5.6068,1.2344,637.0,3.075,41.14,-116.71,2.8558
2.571,19.0,5.5193,1.2413,1894.0,1.7764,41.87,-121.63,2.0172
3.6851,10.0,4.5497,1.1734,571.0,2.34,32.69,-115.51,2.5767
0.6624,46.0,4.4467,1.2452,485.0,3.37,35.64,-115.58,0.9947
8.1669,39.0,5.2923,0.8635,613.0,1.7337,35.94,-116.89,4.4863
5.1844,20.0,6.4634,1.0839,1156.0,2.4019,33.56,-118.38,3.4459
2.9087,3.0,5.3082,0.8878,1218.0,2.686,34.6,-118.45,2.2303
2.395,44.0,7.3473,1.0463,1824.0,5.3229,32.73,-114.61,1.4873
4.3994,36.0,4.565,1.3424,1077.0,3.539,39.12,-119.65,2.4224
6.1641,29.0,5.6317,1.264,317.0,3.8779,33.52,-116.21,3.5893
8.2332,31.0,4.9748,1.1993,867.0,2.3559,40.93,-123.18,4.3641
5.0795,1.0,6.1056,1.0728,1178.0,3.2896,38.05,-117.29,2.0527
3.1725,25.0,4.4621,0.951,706.0,1.5919,35.88,-114.4,2.1575
5.5637,10.0,7.7129,1.1281,1458.0,2.7355,40.18,-124.2,3.2417
4.9481,34.0,3.3713,1.2666,100.0,3.4043,38.68,-121.72,2.5744
3.1807,48.0,7.4586,1.1615,1069.0,1.8659,39.65,-116.45,1.652
4.8587,28.0,5.508,0.8621,2599.0,3.3145,40.84,-116.96,2.3176
4.8022,31.0,6.0629,1.1157,2245.0,3.3809,40.17,-116.96,2.2674
2.8974,35.0,7.0014,0.813,1286.0,2.518,39.9,-114.48,2.1102
2.0857,48.0,6.4292,1.2206,1209.0,2.3322,39.43,-123.34,1.8074
4.5459,2.0,4.524,0.996,1608.0,2.4278,36.09,-117.55,2.0974
1.3872,16.0,6.1201,0.9165,490.0,2.7224,38.69,-117.89,0.3912
1.1536,14.0,7.641,1.2227,2124.0,2.7466,37.87,-122.24,0.7503
3.7228,37.0,4.3352,1.1839,2878.0,3.4077,41.65,-122.17,2.2138
4.4687,23.0,7.9421,1.1349,1065.0,2.5725,37.26,-117.8,2.3381
3.7048,40.0,5.8628,1.4288,1285.0,4.2817,34.61,-117.75,1.7241
3.9687,25.0,4.8801,1.1952,1841.0,4.2759,36.85,-118.3,1.973
4.4213,50.0,4.3281,1.0033,653.0,3.189,36.44,-119.68,1.9697
7.2047,40.0,5.1321,1.1779,2940.0,2.7243,36.95,-117.43,3.6247
5.1338,1.0,3.0537,1.0571,3759.0,2.5734,38.02,-121.08,2.672
5.0383,51.0,4.9017,1.29,1702.0,3.2534,41.51,-121.94,2.7314
3.539,49.0,5.0845,1.1421,3094.0,3.3934,35.17,-118.35,2.247
3.6252,3.0,4.1107,1.157,435.0,2.8392,41.71,-118.13,0.9558
2.7394,20.0,6.2974,0.8836,1423.0,2.6855,39.91,-116.18,1.3738
3.894,50.0,5.1375,1.1092,186.0,3.2822,34.24,-120.14,3.5215
1.3331,43.0,4.637,1.0916,867.0,3.0552,35.16,-116.66,0.4316
7.225,24.0,5.0096,0.9464,883.0,2.5423,41.14,-115.12,3.7762
1.6348,28.0,5.8261,1.0668,716.0,3.0904,40.11,-120.04,1.1675
5.1273,2.0,5.4879,1.1654,442.0,2.5158,33.86,-118.87,2.7032
6.6789,29.0,4.5588,1.0993,1689.0,2.3987,38.05,-115.2,3.8768
5.1198,34.0,5.5508,0.8882,611.0,2.996,35.13,-121.3,2.9005
10.8027,19.0,5.3392,1.059,1690.0,2.5403,38.48,-117.07,5.0
0.5,16.0,4.0326,1.0298,1122.0,2.4136,34.15,-118.53,1.0138
2.1845,43.0,5.0538,1.129,1483.0,3.8366,35.84,-120.16,1.8295
6.6114,23.0,6.0952,1.1128,774.0,2.6862,36.19,-115.66,3.5665
1.116,14.0,6.0866,1.0383,1114.0,4.4747,37.61,-122.73,1.1777
1.6735,20.0,5.124,1.0324,4195.0,3.5013,34.77,-123.95,1.4741
4.2469,26.0,6.2121,1.1101,1449.0,2.3434,39.41,-122.23,2.6062
3.1467,14.0,4.2241,1.2444,2945.0,3.9278,40.19,-115.54,0.9421
4.0819,29.0,4.2612,1.1418,2844.0,2.4267,38.58,-120.86,2.1579
3.3272,44.0,5.0985,1.3135,371.0,4.5787,41.08,-117.46,2.3002
3.5306,38.0,7.1971,1.27,2839.0,3.181,40.01,-121.99,3.1005
1.8006,12.0,5.5959,1.3245,1114.0,3.4341,32.92,-119.39,1.5424
3.4572,25.0,5.0696,1.3053,882.0,3.0248,33.3,-119.07,1.7789
2.2921,28.0,7.253,1.3344,504.0,3.2127,38.77,-121.85,1.5916
2.5178,35.0,5.0557,0.927,374.0,2.8167,39.36,-120.43,1.7684
5.084,39.0,8.0817,1.1971,1656.0,2.2594,41.7,-121.68,3.1315
1.0693,25.0,4.7865,1.2827,361.0,3.2717,32.53,-123.29,1.4444
0.5,17.0,4.1859,1.3099,1705.0,3.8198,34.75,-119.98,0.607
4.8547,34.0,5.2004,0.9844,117.0,2.0475,40.4,-118.66,2.8304
3.4595,7.0,5.1011,1.1986,542.0,4.2324,40.97,-123.4,2.4572
6.6744,35.0,4.4307,1.1113,994.0,3.4809,36.91,-120.72,3.5535
1.7079,46.0,8.5224,1.3771,1215.0,2.6505,37.1,-119.67,1.6123
2.8357,37.0,5.7824,0.8919,568.0,2.6362,40.61,-114.97,2.1146
3.2272,23.0,5.9571,0.9846,408.0,4.4913,36.87,-118.2,1.9344
1.9659,42.0,4.8457,0.8284,910.0,3.751,39.98,-114.88,0.9317
1.5465,28.0,4.7068,1.1217,731.0,3.912,41.51,-119.06,1.1346
5.0089,28.0,6.6307,1.4396,808.0,2.7992,34.99,-116.27,2.7038
0.9835,44.0,3.389,1.0933,1766.0,3.4444,35.11,-123.34,1.4982
1.3546,10.0,4.0286,1.1152,2546.0,3.2795,41.42,-118.66,0.7985
2.7711,40.0,5.1032,1.1825,870.0,2.8603,36.53,-120.77,2.8164
5.3766,35.0,7.0213,1.0826,1767.0,3.0874,32.65,-117.02,3.0437
2.0608,27.0,4.9506,1.1549,749.0,3.888,37.27,-115.52,0.8728
1.8749,4.0,5.8994,1.1588,703.0,4.2797,38.36,-117.18,0.5242
2.6598,40.0,5.4333,0.9732,906.0,2.7988,34.83,-123.42,2.0844
3.842,12.0,6.9555,1.0859,2298.0,1.9496,39.41,-118.09,2.207
2.3804,46.0,3.4983,1.2113,286.0,4.3149,34.71,-116.86,1.3148
5.8069,41.0,6.2832,1.2393,247.0,4.3249,33.64,-124.0,4.16
5.9587,19.0,5.1613,1.2948,3318.0,3.3203,34.87,-122.6,3.2346
2.771,23.0,6.5099,1.1503,553.0,4.4341,37.57,-117.5,1.3712
9.0918,2.0,4.4169,1.1534,1005.0,3.2621,40.63,-121.15,3.876
3.1786,26.0,5.4293,1.2125,803.0,2.2728,37.53,-123.68,2.9521
5.8356,3.0,5.277,1.0108,2895.0,1.9503,40.57,-115.41,2.7834
3.7728,51.0,4.1971,1.0046,2283.0,1.9426,33.11,-114.78,3.5621
3.7273,33.0,3.8635,1.0813,404.0,3.0036,36.04,-120.57,2.2704
0.7953,12.0,4.7035,0.9087,1222.0,2.627,36.63,-114.37,0.9688
1.2642,41.0,5.5559,1.161,1464.0,2.5369,40.12,-115.73,1.0566
2.4684,1.0,4.4917,1.2574,1732.0,2.9145,38.3,-118.74,1.838
5.931,29.0,5.0039,0.9935,162.0,3.6864,39.96,-116.83,3.2784
3.8078,6.0,3.137,1.1653,246.0,2.5624,35.72,-114.94,2.147
2.4843,3.0,4.9552,1.0056,1820.0,2.4277,41.37,-117.03,1.0607
4.4966,13.0,6.6283,0.9475,351.0,2.6152,40.23,-120.93,3.3522
5.7962,16.0,6.2462,1.4083,1446.0,3.7367,41.2,-122.37,3.8041
3.0464,38.0,5.2957,0.9497,425.0,2.944,35.0,-119.98,1.7669
3.5167,46.0,5.6924,0.9081,263.0,3.2239,32.56,-122.43,3.1158
3.2259,40.0,4.4061,1.1322,536.0,4.2424,38.35,-124.08,2.511
2.9178,38.0,7.3493,1.1403,1089.0,5.2746,37.18,-119.74,0.847
1.6939,29.0,7.8813,1.2001,1399.0,3.5123,39.9,-121.01,1.9913
1.5952,19.0,5.5978,1.4002,1523.0,3.4331,33.43,-123.35,2.2532
4.4787,14.0,8.5088,0.9834,1971.0,2.0524,38.16,-115.59,2.2143
5.8645,49.0,4.5838,1.0132,564.0,3.2948,34.39,-123.07,3.2812
2.4809,27.0,3.8987,1.3413,1895.0,3.0496,37.39,-118.0,1.6031
2.4407,29.0,4.5485,1.2409,1169.0,3.7138,34.0,-118.61,1.5102
0.6081,1.0,5.1366,1.22,1308.0,2.6865,41.17,-114.51,0.15
0.5024,24.0,8.1745,1.0115,4449.0,3.1606,34.24,-121.76,1.7182
6.8013,35.0,5.0626,1.2689,1681.0,3.4842,37.96,-121.94,4.2165
1.7791,26.0,4.3684,1.2205,942.0,4.5188,32.55,-118.03,1.3921
11.2546,32.0,4.3218,1.1284,824.0,4.251,33.99,-118.72,5.0
2.0201,42.0,6.768,1.0123,1098.0,4.0129,37.24,-116.18,1.6183
0.8197,2.0,6.5968,1.116,301.0,3.5817,32.89,-122.57,0.8823
3.243,47.0,4.8174,1.3473,1445.0,2.6549,37.66,-121.29,2.3302
4.9722,42.0,3.1491,0.9359,1087.0,3.5812,34.25,-124.25,3.8959
4.6295,22.0,4.0457,0.98,1296.0,2.3822,39.4,-117.08,2.2352
5.2852,39.0,7.4655,1.0058,1165.0,2.835,40.75,-121.05,3.5985
1.4412,4.0,6.2266,1.0384,334.0,4.4227,39.71,-121.94,0.8709
6.7027,16.0,5.4786,1.0976,1721.0,3.4304,33.1,-118.25,3.8546
6.9434,6.0,7.6426,1.2438,688.0,3.1816,37.22,-121.78,3.714
7.1283,33.0,7.75,1.1692,2129.0,3.2846,33.56,-123.73,4.3653
3.5972,44.0,5.3569,1.1091,1823.0,2.9249,36.39,-121.94,2.8498
2.3472,31.0,5.3789,1.1415,3197.0,1.2753,40.48,-115.8,1.0182
2.1997,37.0,4.7015,1.1936,1095.0,1.9885,32.89,-118.35,1.7836
0.8156,8.0,5.0585,0.8477,1973.0,3.4938,34.89,-119.59,0.3534
2.053,48.0,3.6164,1.2607,3435.0,2.2636,40.35,-119.39,2.0815
0.5,10.0,3.6115,0.976,639.0,2.9139,36.36,-114.33,0.15
0.7163,27.0,3.3328,1.0335,2305.0,2.018,34.74,-123.99,1.2766
3.5729,35.0,6.7012,1.1511,1659.0,2.4251,41.52,-122.69,2.702
2.5406,44.0,3.5263,1.0887,475.0,2.9966,33.98,-115.64,2.3027
3.4721,48.0,7.74,1.173,997.0,3.7391,39.99,-118.95,2.0937
4.7356,31.0,4.5235,1.1213,4903.0,3.8995,34.19,-114.35,2.6493
3.898,30.0,7.4848,1.0566,2221.0,2.4123,41.65,-117.46,2.1987
3.6861,22.0,4.9619,1.3293,1550.0,3.2454,39.97,-117.07,2.2658
2.8574,29.0,3.5206,1.2062,654.0,1.8597,35.13,-118.5,1.5987
1.7304,35.0,6.9405,1.1453,122.0,3.0451,41.84,-124.13,0.973
1.1236,33.0,7.0822,1.2039,355.0,3.7627,33.59,-115.22,1.6083
2.093,31.0,4.3127,0.9942,1128.0,2.9464,40.67,-119.07,1.9189
2.89,23.0,5.002,1.4262,1129.0,4.0525,39.14,-124.21,1.514
3.1399,10.0,4.313,0.9369,2636.0,3.6695,34.15,-122.2,2.8509
5.2922,3.0,5.2554,1.117,528.0,3.1931,37.69,-120.8,2.9671
2.7161,22.0,5.5294,1.057,489.0,2.8002,32.61,-121.44,2.0906
4.3097,21.0,4.9783,1.0513,1677.0,2.5725,37.94,-124.02,2.4294
0.9208,32.0,3.2173,1.0319,838.0,1.8336,38.03,-121.5,1.1984
3.606,46.0,4.7029,0.9842,830.0,1.9639,36.38,-115.34,2.4252
3.4416,36.0,6.2442,1.2783,2462.0,3.7959,40.33,-118.41,1.8695
6.7041,42.0,5.1493,0.9193,463.0,4.211,41.34,-121.03,4.078
2.5421,30.0,5.0071,1.2475,2219.0,2.1352,37.57,-123.42,2.4048
2.4673,48.0,4.2831,1.1973,1536.0,3.0545,38.9,-116.79,1.1989
4.7565,48.0,4.6679,1.0429,770.0,1.7404,33.89,-117.12,2.9094
1.1973,8.0,7.0907,1.1799,1102.0,2.2186,41.98,-124.28,1.5229
3.5449,33.0,4.0323,1.0763,578.0,3.2079,40.65,-114.37,1.8039
1.1473,26.0,6.265,0.9348,967.0,2.585,41.52,-121.64,1.3702
8.5474,50.0,5.4565,0.9364,3312.0,1.467,39.89,-121.68,5.0
2.2409,30.0,5.6938,1.1983,634.0,4.3751,35.57,-121.29,1.9593
1.0852,1.0,4.5212,1.1905,215.0,2.9607,34.61,-114.68,0.1824
2.082,11.0,4.9779,1.1363,1127.0,2.1165,37.35,-115.89,0.511
3.5591,7.0,5.3931,1.0413,2936.0,3.1024,33.28,-117.93,2.1817
4.2243,11.0,4.7752,1.0714,1325.0,2.9353,37.74,-119.36,1.7622
6.4905,5.0,5.7977,1.0512,921.0,3.3375,36.01,-121.03,3.3245
1.9015,40.0,5.9489,0.838,889.0,2.7281,39.42,-120.95,1.8574
4.8928,26.0,8.0072,1.1092,2263.0,3.2514,38.44,-121.04,2.598
0.717,35.0,5.7338,1.1784,1447.0,3.7549,34.84,-115.67,1.503
1.3621,51.0,3.1053,1.1101,1674.0,1.9455,39.47,-117.49,1.4603
0.9437,34.0,6.7956,1.3654,1245.0,2.4454,35.46,-120.23,1.2726
1.6563,25.0,5.1554,0.9493,2012.0,3.6714,34.86,-114.36,1.0835
4.7549,14.0,7.8143,1.0008,3312.0,2.5589,36.48,-122.53,3.023
1.9358,39.0,7.1651,1.12,1113.0,2.9347,34.0,-123.53,2.1628
2.2129,26.0,4.7937,1.1366,1429.0,2.6237,35.59,-120.62,2.6558
3.6219,39.0,6.2663,0.8148,3218.0,2.6736,34.97,-114.48,1.6806
4.1115,2.0,4.6873,1.1904,1243.0,2.6057,32.71,-124.06,2.3452
2.2617,9.0,5.4032,1.1372,2242.0,1.993,35.36,-123.49,1.2072
1.3546,7.0,6.2112,0.8,544.0,3.3674,36.93,-120.89,1.1734
7.7114,35.0,6.7356,1.0825,616.0,3.8498,40.38,-114.43,3.8816
2.2725,27.0,6.4742,0.9787,3831.0,2.8588,34.21,-120.87,2.2634
2.4374,17.0,5.49,1.032,1896.0,3.7596,35.61,-117.52,1.4381
2.6585,16.0,8.3801,0.8993,1006.0,2.6071,32.78,-115.66,2.2449
4.3913,31.0,4.962,1.1624,735.0,2.5599,33.21,-117.59,2.8053
0.8784,50.0,3.4714,1.3643,891.0,3.3286,35.88,-123.4,1.5886
9.5344,51.0,3.7024,1.1398,370.0,3.3419,37.25,-122.81,5.0
2.3899,25.0,7.1688,0.8,1787.0,2.9098,39.61,-121.71,1.7675
4.4861,35.0,5.308,1.1428,1663.0,3.5413,39.75,-116.34,2.2046
1.0959,5.0,5.5909,1.0708,1635.0,1.9704,41.18,-116.28,0.9181
3.3849,49.0,4.749,0.9348,2753.0,2.7568,41.12,-122.6,3.0173
8.6569,1.0,4.8568,1.153,1191.0,3.7719,33.46,-120.51,4.1575
7.9321,18.0,4.4555,1.232,1538.0,3.7697,33.56,-122.9,4.303
